# 제품 연표 — §5 8단계에서 채운다(≥ 80행). year 는 YYYY 만.
year	maker	product	class	notable-for(ko)	source	verified-how
2012	DJI	Naza-H	autopilot	헬리콥터용 자동 비행 장치	https://www.dji.com/newsroom/news/dji-releases-naza-h-helicopter-autopilot-system	fetched 2026-09-25 — 목록 '2012-11-17 DJI releases "Naza-H" helicopter autopilot system'
2013	DJI	Phantom	consumer	DJI 첫 소형 완성형(RTF) 멀티로터, Naza-M+GPS 내장, GoPro 장착	dji-phantom-2013	fetched 2026-09-25 — 'DJI's first small size Ready-to-Fly … built-in Naza-M + GPS … mount a GoPro'
2013	DJI	Naza-M V2	autopilot	멀티로터 자동 비행 장치 2세대	https://www.dji.com/newsroom/news/dji-released-naza-m-v2-en	fetched 2026-09-25 — 목록 '2013-05-01 DJI Released Naza-M V2 Multirotor Autopilot System'
2013	DJI	Naza-M Lite	autopilot	보급형 멀티로터 비행 제어 장치	https://www.dji.com/newsroom/news/dji-released-naza-m-lite-en	fetched 2026-09-25 — 목록 '2013-05-28'
2013	DJI	A2	autopilot	고급형 멀티로터 비행 제어기	https://www.dji.com/newsroom/news/dji-release-a2	fetched 2026-09-25 — 목록 '2013-09-04 DJI has released A2, the new high-end multi-rotor flight controller'
2013	DJI	Phantom 2 Vision	consumer	카메라 일체형 Phantom('your flying camera')	https://www.dji.com/newsroom/news/dji-released-phantom-2-vision-your-flying-camera	fetched 2026-09-25 — 목록 '2013-10-28'
2013	DJI	Phantom 2	consumer	Phantom 후속 쿼드콥터	https://www.dji.com/newsroom/news/dji-released-its-new-quadcopter-phantom-2	fetched 2026-09-25 — 목록 '2013-12-16'
2013	3D Robotics	Pixhawk(FMUv2)	autopilot	PX4 팀이 설계하고 3DR 가 생산·유통한 오픈 하드웨어 비행 제어기	auterion-px4-history	fetched 2026-09-25 — 'the first and second generation hardware (Flight Management Unit version 2: FMUv2), called Pixhawk … partnered with manufacturer 3D Robotics'(연도는 '두 해 뒤' 첫 안정판과 같은 시기로 서술)
2014	DJI	Phantom FC40	consumer	보급형 Phantom	https://www.dji.com/newsroom/news/dji-released-the-phantom-fc40	fetched 2026-09-25 — 목록 '2014-01-20'
2014	DJI	Spreading Wings S1000	prosumer	촬영용 8로터(옥토콥터) 플랫폼	https://www.dji.com/newsroom/news/dji-released-its-new-spreading-wings-s1000-octocopter-platform	fetched 2026-09-25 — 목록 '2014-02-24'
2014	DJI	Phantom 2 Vision+	consumer	완성형(RTF) 쿼드콥터 Phantom 2 Vision 계열	https://www.dji.com/newsroom/news/dji-has-released-its-new-ready-to-fly-quadcopter-phantom-2-vision-plus	fetched 2026-09-25 — 목록 '2014-04-06'
2014	DJI	Lightbridge	component	2.4 GHz 풀 HD 디지털 영상 다운링크	https://www.dji.com/newsroom/news/dji-has-released-dji-lightbridge	fetched 2026-09-25 — 목록 '2014-04-30 … its 2.4G Full HD digital video downlink'
2014	DJI	Spreading Wings S900	prosumer	촬영용 6로터 플랫폼	https://www.dji.com/newsroom/news/dji-spreading-wings-s900	fetched 2026-09-25 — 목록 '2014-08-04', 발표문 'Six of our most powerful motors'
2014	DJI	Inspire 1	prosumer	영상 제작용 쿼드콥터	https://www.dji.com/newsroom/news/announcing-the-dji-inspire-1	fetched 2026-09-25 — 목록 '2014-11-13'
2014	Parrot	Bebop Drone	consumer	'프로처럼 날고 찍는' 소비자 드론(2014-11-07 출시 보도자료)	parrot-press-archive	fetched 2026-09-25 — 'PARROT BEBOP DRONE - Fly, film & photograph like a pro! - 07/11/2014'
2015	3D Robotics	Solo	consumer	'Smart Drone' — NAB 2015 에서 발표	https://dronelife.com/2015/04/13/3d-robotics-solo-drone-announcement/	websearch 2026-09-25 — 'unveiled its Solo quadcopter at NAB 2015'
2015	DJI	Phantom 3	consumer	Phantom 3세대	https://www.dji.com/newsroom/news/dji-unveils-the-phantom-3-the-next-evolution-of-the-world-s-most-popular-consumer-drone	fetched 2026-09-25 — 목록 '2015-04-08'
2015	DJI	Manifold	component	기체 개발자용 탑재 컴퓨터	https://www.dji.com/newsroom/news/dji-launches-new-manifold-embedded-computer-for-aerial-platform-developers	fetched 2026-09-25 — 목록 '2015-11-02'
2015	DJI	Agras MG-1	agri	DJI 첫 농업용 드론 — 8로터, 액체 10 kg 넘게 적재	https://www.dji.com/media-center/announcements/dji-introduces-company-s-first-agriculture-drone	fetched 2026-09-25 — 'Nov. 27, 2015 … The eight-rotor Agras can load more than 10 kilograms of liquid'
2015	Parrot	Bebop 2	consumer	일체형 드론(2015-11-20 보도자료)	parrot-press-archive	fetched 2026-09-25 — 'Parrot Bebop 2, the all-in-one drone! - 20/11/2015'
2016	EHang	EHang 184	passenger	1인승 전기 자율 비행체(AAV), CES 2016 공개	ehang-184-2016	fetched 2026-09-25 — 'Launches First-Ever Autonomous Aerial Vehicle "EHang 184" at CES'
2016	DJI	Phantom 4	consumer	전방 광학 센서 두 개의 장애물 감지	https://www.dji.com/newsroom/news/dji-launches-new-era-of-intelligent-flying-cameras	fetched 2026-09-25 — 목록 '2016-03-02 DJI Launches New Era of Intelligent Flying Cameras'
2016	DJI	Matrice 600	enterprise	차세대 산업용 공중 플랫폼	https://www.dji.com/newsroom/news/dji-introduces-next-generation-matrice-600-aerial-platform	fetched 2026-09-25 — 목록 '2016-04-17'
2016	Parrot	Disco	consumer	몰입형 비행용 첫 비행익(날개형) 드론(보도자료 표현)	parrot-press-archive	fetched 2026-09-25 — 'Parrot présente DISCO, la première aile volante pour les vols en immersion - 23/08/2016'
2016	DJI	Mavic Pro	consumer	접이식 소형 기체	https://www.dji.com/media-center/announcements/dji-revolutionizes-personal-flight-with-new-mavic-pro-drone	fetched 2026-09-25 — 'Small Size And Folding Design'
2016	Intel	Shooting Star	show	라이트쇼 전용으로 설계된 280 g 드론 — 조종사 1명이 500대 운용	gwr-news-2016-11;intc-pyeongchang-2018	fetched 2026-09-25 — GWR 'weighing just 280 grams … specifically designed for putting on dramatic lightshows'; 인텔 'the first-ever drone created for entertainment light shows'
2016	DJI	Phantom 4 Pro	consumer	Phantom 4 상위판(Inspire 2 와 함께 발표)	https://www.dji.com/newsroom/news/dji-raises-bar-for-aerial-imaging-with-two-new-flying-cameras	fetched 2026-09-25 — 목록 '2016-11-16 … Two New Flying Cameras'
2016	DJI	Inspire 2	prosumer	영상 제작용 Inspire 2세대	https://www.dji.com/newsroom/news/dji-flex-inspire-2-muscle-at-official-la-product-launch	fetched 2026-09-25 — 목록 '2016-11-18 DJI Flex Inspire 2 Muscle at Official LA Product Launch'
2017	DJI	Matrice 200 시리즈	enterprise	산업용 기체 시리즈	https://www.dji.com/newsroom/news/dji-introduces-m200-series-drones-built-for-enterprise-solutions	fetched 2026-09-25 — 목록 '2017-02-26'
2017	EHang	GHOSTDRONE 2.0	show	광저우 1,000대 쇼에 쓰인 기체	ehang-1000-2017	fetched 2026-09-25 — 'a thousand EHang GHSOTDRONE 2.0 UAVs'(원문 오타 그대로)
2017	DJI	Phantom 4 Advanced	consumer	Phantom 4 계열	https://www.dji.com/newsroom/news/new-phantom-4-advanced-gives-creators-the-ideal-flying-camera-for-expanding-their-creative-vision	fetched 2026-09-25 — 목록 '2017-04-13'
2017	DJI	Spark	consumer	소형 드론, 2017-06-15 첫 출하	https://www.dji.com/newsroom/news/dji-delivers-exciting-spark-mini-drone-to-first-wave-of-customers	fetched 2026-09-25 — 목록 '2017-06-15 … Spark Mini Drone To First Wave Of Customers'
2017	Parrot	Mambo FPV	racing	1인칭(FPV) 소형 드론	parrot-press-archive	fetched 2026-09-25 — 'Présentation du Mambo FPV - 14/09/2017'
2017	Parrot	Bluegrass	agri	농업 전용 다목적 쿼드콥터	parrot-press-archive	fetched 2026-09-25 — 'Parrot Bluegrass : Le quadricoptère polyvalent dédié à l'agriculture - 24/10/2017'
2017	DJI	Racing Edition Goggles	racing	레이싱·FPV 용 고글	https://www.dji.com/newsroom/news/dji-introduces-racing-edition-goggles	fetched 2026-09-25 — 목록 '2017-11-22'
2018	Skydio	R1	consumer	카메라 12대로 자율 비행하는 첫 Skydio 기체	https://robotsguide.com/robots/skydio	websearch 2026-09-25 — 'announced in February 2018 … flying autonomously using only its 12 navigation cameras'(제조사 원문 미확인)
2018	DJI	Mavic 2 Pro·Mavic 2 Zoom	consumer	Mavic 2세대 두 기종	https://www.dji.com/newsroom/news/dji-introduces-mavic-2-pro-and-mavic-2-zoom	fetched 2026-09-25 — 목록 '2018-08-23'
2018	DJI	Phantom 4 RTK	enterprise	RTK 측량용 Phantom	https://www.dji.com/newsroom/news/dji-launches-the-phantom-4-rtk-globally	fetched 2026-09-25 — 목록 '2018-10-15'
2019	UVify	IFO	show	드론쇼 최적화 기체 — 약 900 g	korea-kr-uvify	fetched 2026-09-25 — '2019년 1월 … IFO 시리즈 … 무게는 약 900g'
2019	DJI	Digital FPV 시스템	racing	저지연 HD 디지털 FPV 영상 전송	https://www.dji.com/newsroom/news/take-drone-racing-to-the-next-level-with-the-dji-digital-fpv-ecosystem	fetched 2026-09-25 — 목록 '2019-07-31 … The First Low Latency HD Video Transmission'
2019	DJI	P4 Multispectral	agri	정밀 농업·토지 관리용 다중분광	https://www.dji.com/newsroom/news/dji-introduces-p4-multispectral-for-precision-agriculture-and-land-management	fetched 2026-09-25 — 목록 '2019-09-25'
2019	Skydio	Skydio 2	consumer	항법 카메라 6대의 자율 비행 기체	https://www.thedronegirl.com/2020/06/25/skydio-2-review/	websearch 2026-09-25 — 'Released in October 2019 … 6 navigation cameras instead of 12'
2019	DJI	Mavic Mini	consumer	DJI 에서 가장 가볍고 작은 접이식 기체	https://www.dji.com/media-center/announcements/take-to-the-skies-with-mavic-mini-dji-lightest-and-smallest-foldable-drone	fetched 2026-09-25 — 'DJI's Lightest And Smallest Foldable Drone'
2020	DJI	Mavic Air 2	consumer	Mavic Air 2세대	https://www.dji.com/newsroom/news/get-ready-to-up-your-creative-game-with-the-new-dji-mavic-air-2	fetched 2026-09-25 — 목록 '2020-04-28'
2020	DJI	Mini 2	consumer	초경량 소형 기체	https://www.dji.com/newsroom/news/dji-mini-2	fetched 2026-09-25 — 목록 '2020-11-05 Meet DJI Mini 2, The Ultra-Light …'
2020	DJI	Agras T20	agri	농약 살포 드론	https://www.dji.com/newsroom/news/agras-t20	fetched 2026-09-25 — 목록 '2020-11-13'
2020	DJI	Mavic 2 Enterprise Advanced	enterprise	열화상 성능을 높인 산업용 Mavic	https://www.dji.com/newsroom/news/mavic-2-enterprise-advanced	fetched 2026-09-25 — 목록 '2020-12-15 … Improved Thermal Vision'
2021	DJI	DJI FPV	racing	레이싱 드론의 FPV·속도와 촬영 드론의 안전 기술을 합친 '새 드론 범주'	https://www.dji.com/newsroom/news/dji-reinvents-the-drone-flying-experience-with-the-dji-fpv	fetched 2026-09-25 — 발표문 'DJI FPV creates a new drone category'
2021	DJI	Air 2S	consumer	Air 시리즈	https://www.dji.com/newsroom/news/dji-air-2s-launch	fetched 2026-09-25 — 목록 '2021-04-15'
2021	DJI	Mavic 3	consumer	Mavic 3세대	https://www.dji.com/newsroom/news/dji-mavic-3-release	fetched 2026-09-25 — 목록 '2021-11-05'
2022	DJI	Mini 3 Pro	consumer	249 g 미만 소형 기체	https://www.dji.com/newsroom/news/dji-mini-3-pro-global-announcement	fetched 2026-09-25 — 목록 '2022-05-10 … Sub-249g Camera Drone'
2022	Amazon	MK27-2	delivery	록퍼드 배송에 쓸 Prime Air 설계(2022년 당시 최신)	https://www.aboutamazon.com/news/transportation/amazon-prime-air-prepares-for-drone-deliveries	fetched 2026-09-25 — 'MK27-2, our latest design'(2022-06-13)
2022	DJI	Avata	racing	몰입형 FPV 기체	https://www.dji.com/newsroom/news/dji-unveils-dji-avata-the-ultimate-immersive-drone-experience	fetched 2026-09-25 — 목록 '2022-08-25'
2022	DJI	Mavic 3 시리즈(C1)	consumer	EU C1 등급 인증을 처음 받은 기체	https://www.dji.com/media-center/announcements/dji-granted-worlds-first-c1-certificate-for-mavic-3-series	fetched 2026-09-25 — 'DJI Granted World's First C1 Drone Certificate'(2022-08-18)
2022	DJI	Mavic 3 Multispectral	agri	정밀 농업용 다중분광	https://www.dji.com/newsroom/news/dji-launches-the-mavic-3-multispectral	fetched 2026-09-25 — 목록 '2022-11-23'
2022	DJI	Mini 3	consumer	249 g 미만 보급형	https://www.dji.com/newsroom/news/dji-mini-3-is-the-sub-249g-drone-for-everyone-anywhere-kr	fetched 2026-09-25 — 목록 '2022-12-09'
2023	DJI	Inspire 3	prosumer	영화 촬영용 기체	https://www.dji.com/newsroom/news/djis-new-inspire-3-is-the-worlds-ultimate-cinema-drone	fetched 2026-09-25 — 목록 '2023-04-13'
2023	DJI	Matrice 350 RTK	enterprise	산업용 기체	https://www.dji.com/newsroom/news/djis-new-matrice-350-rtk-redefines-the-ultimate-tool-for-the-commercial-drone-industry	fetched 2026-09-25 — 목록 '2023-05-18'
2023	DJI	Air 3	consumer	광각·3배 중망원 두 주 카메라	https://www.dji.com/newsroom/news/double-your-aerial-imaging-skills-with-djis-new-air-3-drone	fetched 2026-09-25 — 발표문 'with dual primary cameras … a wide-angle camera and a 3x medium tele camera'
2023	DJI	Mini 4 Pro	consumer	전방위 장애물 감지 소형 기체	https://www.dji.com/media-center/announcements/unlock-creativity-with-dji-mini-4-pro-all-in-one-aerial-solution	websearch 2026-09-25 — 'announced the DJI Mini 4 Pro on September 25, 2023 … omni-directional obstacle sensing'
2023	Skydio	X10	enterprise	공공 안전·인프라·군 대상 기체(2023-09 발표)	https://dronexl.co/drone-companies/skydio/	websearch 2026-09-25 — 'The Skydio X10 was announced in September 2023'(제조사 원문 미확인)
2023	Amazon	MK30	delivery	소음을 줄이고 가벼운 비에도 나는 차세대 Prime Air 배송 드론	https://www.aboutamazon.com/news/transportation/amazon-prime-air-drone-delivery-mk30-photos	fetched 2026-09-25 — 'reduce the MK30's perceived noise by almost half … including light rain'
2023	Verge Aero	X7	show	하드웨어·소프트웨어 일체형 쇼 드론	https://www.businesswire.com/news/home/20231004731949/en/Verge-Aero-Launches-New-X7-Drone-Combining-Cutting-Edge-Hardware-and-Software-Advancements-for-User-Friendly-All-in-One-Drone-Show-System	websearch 2026-09-25 — 보도자료 제목 'Verge Aero Launches New X7 Drone … All-in-One Drone Show System'(2023-10-04)
2024	DJI	FlyCart 30	delivery	DJI 첫 배송 드론	https://www.dji.com/media-center/announcements/dji-launch-fly-cart-30	fetched 2026-09-25 — 'DJI's First Delivery Drone Takes Flight Globally'(2024-01-10)
2024	DJI	Avata 2	racing	FPV 기체 2세대, Goggles 3·RC Motion 3 와 짝	https://www.dji.com/media-center/announcements/dji-launch-avata-2-en	fetched 2026-09-25 — 'DJI Avata 2, Goggles 3 and RC Motion 3'(2024-04-11)
2024	Sky Elements	Phoenix 불꽃 드론	show	불꽃을 싣는 쇼 드론 — 맨스필드 1,164대 기네스	skyelements-gwr	fetched 2026-09-25 — 'we launched 1,200 of our Phoenix pyrotechnic drones'
2024	DJI	Neo	consumer	손바닥에서 뜨고 내리는 135 g 미만 브이로그 기체	https://www.dji.com/media-center/announcements/dji-neo-us	websearch 2026-09-25 — 'Weighing less than 5 ounces (135g), Neo can take off and land from the palm of the hand'
2024	DJI	Air 3S	consumer	두 카메라 여행 촬영 기체	https://www.dji.com/newsroom/news/dji-release-air-3s-us	fetched 2026-09-25 — 목록 '2024-10-15 DJI Enhances Dual-Camera Drone for Unmatched Aerial Travel Photography'
2025	DJI	O4 Air Unit	racing	FPV 용 영상 전송 모듈	https://www.dji.com/newsroom/news/dji-o4-air-unit	fetched 2026-09-25 — 목록 '2025-01-09 DJI Launches O4 Air Unit Series'
2025	DJI	Flip	consumer	올인원 브이로그 카메라 드론	https://www.dji.com/newsroom/news/dji-release-flip-us	fetched 2026-09-25 — 목록 '2025-01-14 DJI Launches All-in-One Vlog Camera Drone with DJI Flip'
2025	DJI	Mavic 4 Pro	consumer	Mavic 4세대	https://www.dji.com/global/newsroom/news/dji-release-mavic-4-pro	websearch 2026-09-25 — 'announcement appearing on DJI's official newsroom on May 13, 2025'
2025	DJI	Agras T100·T70P·T25P	agri	아그리테크니카 2025 에서 공개한 농업용 3기종	https://www.dji.com/media-center/announcements/dji-release-dji-agras-t70p	fetched 2026-09-25 — 발표 목록 '2025-11-11 DJI Agriculture Unveils Agras T100, T70P, and T25P at Agritechnica 2025'
2025	DJI	FlyCart 100	delivery	배송 드론 후속	https://www.dji.com/media-center/announcements/dji-release-dji-flycart-100	fetched 2026-09-25 — 발표 목록 '2025-12-04 DJI Redefines Aerial Delivery with DJI FlyCart 100'
2026	EHang	GHOSTDRONE 4.0	show	춘완 허페이 분회장 22,580대 쇼에 쓰인 신세대 편대 드론	https://www.ehang.com/news/1346.html	websearch 2026-09-25 — 이항 뉴스 'with 22,580 units of its new-generation GHOSTDRONE 4.0 formation unmanned aerial vehicles'
