# 연표 — PLAN.md §3.2·§5 8단계에서 채운다(≥ 220행, 1849 → 2026-09). 위키백과 주소는 출처가 아니다.
date	event(ko)	kind	source	verified-how
1941-06	라디오플레인 OQ-2 표적 드론이 샌퍼낸도 밸리 공장에서 생산 라인을 나오기 시작 — 미국 최초의 대량 생산 무인기	military	ma-denny-targets;yanks-oq2a	fetched 2026-09-25 — 'The first Radioplane OQ-2 drones left the production line … in June 1941'; Yanks 'the first mass-produced UAV in the United States'
1944-06-13	독일 V-1 비행폭탄(펄스제트로 나는 무인 날개 폭탄)의 첫 발이 런던에 떨어짐	military	iwm-v-weapons	fetched 2026-09-25 — '13 June 1944, the day the first flying bombs hit London'
1945	1941–1945년 라디오플레인 표적 드론이 육·해군용으로 모두 14,891대 생산됨	military	ma-denny-targets	fetched 2026-09-25 — 'A total of 14,891 drones were produced for the Army and Navy from 1941 through 1945'; Yanks 는 '15,000 all mods' 로 적음
1946-03-01	미 FCC 명령 130-C 시행 — 6 m(50–54 MHz) 아마추어 대역이 생겨 RC 취미에 쓰임	hobby	ma-rc-history	fetched 2026-09-25 — 'FCC Order 130-C went into effect on March 1, 1946'
1946-08-06	원격 조종 B-17 시제기 두 대가 하와이 힐로에서 캘리포니아 머록까지 약 15시간 비행 — 원격 조종 항속 기록	military	iwm-drones-history	fetched 2026-09-25 — 'takes off from Hilo … 6 August 1946 … taking almost 15 hours and setting a new endurance record'
1949	FCC 가 시험 없이 쓸 수 있는 첫 RC 주파수를 내줌	hobby	ma-rc-history	fetched 2026-09-25 — 'The first examination-free frequency was provided by FCC in 1949'
1952	FCC 가 27 MHz 대역의 RC 사용을 허가	hobby	ma-rc-history	fetched 2026-09-25 — '1952 was a big year for RC modelers when the FCC granted use of the 27 [MHz]'
1953-05-31	카만 HTK-1K — 처음으로 완전 원격 조종으로 비행한 헬리콥터(해군연구청 후원)	military	vfs-kaman-1953	fetched 2026-09-25 — VFS 'First fully remote controlled helicopter flown (Kaman HTK-1K)', 'the exact day for this milestone is unknown'
1954	돈 브라운의 Galloping Ghost — 처음으로 여러 조종면을 다룬 RC 방식으로 여겨짐	hobby	ma-rc-history	fetched 2026-09-25 — 'In 1954, Don Brown developed the Galloping Ghost system, which might have been the first multicontrol system'
1956	잭 올브레히트가 처음으로 손에 드는 RC 송신기를 만든 것으로 여겨짐	hobby	ma-rc-history	fetched 2026-09-25 — 'Jack Albrecht built what is thought to be the first handheld transmitter in 1956'
1956-03	컨버터윙스 Model A(4로터) 첫 비행	multirotor	vfs-convertawings	fetched 2026-09-25 — 'First flight March 1956', 'Lift devices: 4 in Multi-rotor configuration'
1960	첫 상용 비례 제어 RC 장치 Space Control(Zel Richie)	hobby	ma-rc-history	fetched 2026-09-25 — '1960 saw the first commercially available proportional system, Space Control'
1960-05-01	소련이 U-2 정찰기를 격추 — NASM 은 이 사건이 정찰 UAV 개발에 불을 붙였다고 서술	military	nasm-pioneer	fetched 2026-09-25 — 'On May 1, 1960, Soviet forces downed Francis Gary Powers … jump-started the development of reconnaissance UAVs'
1962	첫 상용 4-스틱 비례 제어 조종기 Astroguide(Klinetronics)	hobby	ma-rc-history	fetched 2026-09-25 — '1962 also saw the first commercially produced four-stick proportional radio, the Astroguide'
1965	FCC 가 72 MHz 대역에 RC 주파수 5개를 할당	hobby	ma-rc-history	fetched 2026-09-25 — 'in 1965 when the FCC granted five frequencies on 72 MHz band'; 같은 글의 연표는 간격을 80 kHz·40 kHz 두 가지로 적음
1966-03-17	Bell X-22A 쿼드 틸트덕트 기체 첫 비행	multirotor	vfs-x22a-1966	fetched 2026-09-25 — 'First flight of Bell Aerosystems X-22A Quad Tilt-Duct, Thursday, March 17, 1966'
1967-06	6일 전쟁 뒤 이스라엘이 원격 조종 항공기 기술에 크게 투자하기 시작	military	nasm-pioneer	fetched 2026-09-25 — 'Israel invested heavily in remotely piloted aircraft technology during the late 1960s after … the Six-Day War in early June 1967'
1969	RC 에 FM·PCM 수신기가 등장	hobby	ma-rc-history	fetched 2026-09-25 — '1969: FM and PCM receivers were introduced'
1976	장난감 회사 마텔이 29달러짜리 단채널 RC 장치로 RC 취미 시장에 진입	hobby	ma-rc-history	fetched 2026-09-25 — 'Mattel … entered the RC hobby with its inexpensive single-channel pulse-proportional system that sold for $29'
1982	JR Radio 가 첫 컴퓨터 송신기를 내놓음	hobby	ma-rc-history	fetched 2026-09-25 — '1982: The first computer transmitter was introduced by JR Radio'
1982	이스라엘 IAI 가 Scout 정찰 UAV 를 생산 — 운용 성과가 미 해군의 도입 검토로 이어짐	military	nasm-pioneer	fetched 2026-09-25 — 'When Israel invaded Lebanon in 1982, Israel Aircraft Industries … was manufacturing the Scout UAV'
1983	에이브러햄 카렘이 DARPA 용 장기 체공 정찰 UAV 시제기 Albatross 를 개발 — 뒷날 프레데터의 뿌리	military	nasm-predator	fetched 2026-09-25 — 'By 1983, he had developed a small long-endurance tactical reconnaissance UAV prototype called the Albatross for DARPA'
1984	IAI 와 Tadiran 이 합작사 Mazlat 을 세워 Scout 개량형 Pioneer 를 개발	military	nasm-pioneer	fetched 2026-09-25 — 'In 1984, IAI and Tadiran, Ltd., formed a joint subsidiary company called Mazlat Ltd., to develop … the Pioneer'
1986-06	미 해군이 첫 Pioneer UAV 를 인수(72대 구매의 첫 물량)	military	nasm-pioneer	fetched 2026-09-25 — 'U.S. Navy forces received their first Pioneers in June 1986'
1987	야마하가 산업용 무인 헬리콥터 R-50 을 완성 — 15 kg 을 싣고 농약 살포 시연에 성공, 그해 12월부터 20대 한정 판매	consumer	yamaha-r50	fetched 2026-09-25 — 'The first model, the R-50 (L09), was completed in 1987 … carrying a 15-kilogram payload … a limited run of just 20'
1988	FCC 가 72 MHz 대역에 20 kHz 간격의 협대역 RC 채널을 추가	hobby	ma-rc-history	fetched 2026-09-25 — '1988: The FCC granted additional channels on the 72 MHz band with 20 kHz spacing'
1991	아날로그 디바이스 ADXL50 — 상용화된 첫 MEMS 가속도계(에어백용)	consumer	https://www.analog.com/en/resources/analog-dialogue/articles/surface-machined-monolithic-accelerometer.html	websearch 2026-09-25 — ADI 자료 요약 'ADXL50 … released in 1991'(ADI 쪽 문서는 403 이라 원문 미확인)
1992	일본에서 첫 산업용 무인 헬리콥터 비행 기술 경기 대회가 열림(도치기현)	consumer	yamaha-r50	fetched 2026-09-25 — 'in 1992, the first National Industrial-Use Unmanned Helicopter Flight Technique Competition was held in Tochigi'
1994-07	제너럴 아토믹스 프레데터(당시 RQ-1) 첫 비행	military	ga-predator-25	fetched 2026-09-25 — 'Predator A completed its first flight in July 1994'
1995	프레데터가 실전 배치됨	military	ga-predator-25	fetched 2026-09-25 — 'made its operational debut in 1995'
1997-10	야마하 RMAX 판매 시작 — 탑재량·기동성을 높인 산업용 무인 헬리콥터	consumer	yamaha-rmax	fetched 2026-09-25 — 'launched sales of the Yamaha RMAX Aero Robot in October 1997'
1998-02-28	노스럽 그러먼 글로벌 호크 1호기(AV-1) 에드워즈 공군기지에서 첫 비행	military	https://investor.northropgrumman.com/news-releases/news-release-details/first-ever-rq-4-global-hawk-hits-100th-flight-nasa-mission	websearch 2026-09-25 — NG 보도자료 요약 'AV-1 completed its first flight on February 28, 1998 … Edwards'(원문 받기 실패)
1999	GPS 로 자율 항법하는 RMAX 완성	consumer	yamaha-rmax	fetched 2026-09-25 — 'The autonomous-navigation RMAX equipped with a global positioning system … was completed in 1999'
2001	해군연구소·해병대 전투연구소가 손으로 던져 띄우는 자율 소형 정찰 UAV Dragon Eye 를 설계	military	nasm-uav-exhibit	fetched 2026-09-25 — 'In early 2001, the Naval Research Laboratory and the U. S. Marine Corps Warfighting Laboratory designed and built the Dragon Eye'
2002	미 공군이 프레데터의 명칭을 MQ-1 로 바꿈	military	ga-predator-25	fetched 2026-09-25 — 'The U.S. Air Force changed the designation to MQ-1 Predator in 2002'
2002-05	보잉 X-45A 첫 비행 — 처음부터 전투용으로 설계된 현대 UAV 로 NASM 이 소개	military	nasm-uav-exhibit	fetched 2026-09-25 — 'The X-45A first flew in May 2002'
2003	오픈소스 자동 비행 프로젝트 Paparazzi UAV 시작	multirotor	paparazzi-docs	fetched 2026-09-25 — 'founded in 2003'
2003-04	GPS 를 단 RMAX Type G 상용화	consumer	yamaha-rmax	fetched 2026-09-25 — 'commercialized in April 2003 as the RMAX Type G (UAV)'
2004	스펙트럼이 2.4 GHz 확산 대역(DSM) 을 쓰는 첫 상용 RC 장치를 내놓음	hobby	ma-rc-history	fetched 2026-09-25 — 'In 2004, the first commercial RC system using spread spectrum technology was introduced by Spektrum. It operated on 2.4 GHz'
2005-09-28	FAA 가 민간 무인기로는 처음으로 감항증명을 발급(General Atomics Altair)	law	faa-uas-timeline	fetched 2026-09-25 — 'FAA issued the first airworthiness certificate for a civil unmanned aerial vehicle (UAV), the General Atomics Altair'
2007-01-09	애플이 가속도계를 내장한 iPhone 을 발표 — 스마트폰이 MEMS 관성 센서를 대량으로 쓰기 시작	consumer	apple-iphone-2007	fetched 2026-09-25 — 'iPhone employs advanced built-in sensors—an accelerometer, a proximity sensor and an ambient light sensor'
2007-05	크리스 앤더슨이 DIYDrones.com 을 시작	hobby	ardupilot-history	fetched 2026-09-25 — 'May 2007 - Chris Anderson starts DIYDrones.com'
2008	로렌츠 마이어가 Pixhawk 프로젝트를 시작(뒷날 PX4)	multirotor	auterion-px4-history	fetched 2026-09-25 — 'Created by our co-founder Lorenz Meier in 2008, Pixhawk'
2009	크리스 앤더슨과 호르디 무뇨스가 3D Robotics 를 창업	multirotor	ardupilot-history	fetched 2026-09-25 — '2009 - Chris Anderson & Jordi Munoz found 3D Robotics'
2009	Pixhawk 팀이 유럽 초소형 비행체 대회(EMAV) 실내 자율 부문 우승, 소프트웨어를 오픈소스로 공개 — MAVLink·QGroundControl 이 여기서 나옴	multirotor	auterion-px4-history	fetched 2026-09-25 — 'won the European Micro Air Vehicle competition in the indoor autonomy category in 2009 … released their software as open source'
2009-05	첫 ArduPilot 보드 출시(열전대 기울기 센서 사용)	multirotor	ardupilot-history	fetched 2026-09-25 — 'May 2009 - First ArduPilot board (using thermopiles) released'
2009-11	ArduPilot 코드 저장소가 만들어짐	multirotor	ardupilot-history	fetched 2026-09-25 — 'Nov 2009 - ArduPilot code repository created by Jordi'
2010	3D Robotics 가 APM1 을 출시	multirotor	ardupilot-history	fetched 2026-09-25 — '2010 - APM1 released by 3d Robotics'
2010-01	패럿이 CES 2010 에서 스마트폰으로 조종하는 쿼드콥터 AR.Drone 을 공개	consumer	https://toucharcade.com/2010/01/06/ces-2010-parrot-ar-drone-an-iphone-controlled-quadricopter/	websearch 2026-09-25 — 'unveiled at the International CES 2010 in Las Vegas'(패럿 보도자료 목록은 2013년부터라 제조사 원문 미확인)
2010-05	ArduPilot 이 AeroQuad 와 합쳐 멀티콥터 코드(CopterNG) 작업을 시작	multirotor	ardupilot-history	fetched 2026-09-25 — 'May 2010 - ArduPilot merges with AeroQuad … and begins work on CopterNG'
2011	Pixhawk 팀이 비행 제어 소프트웨어·하드웨어를 처음부터 다시 만듦 — PX4 의 탄생	multirotor	auterion-px4-history	fetched 2026-09-25 — 'In 2011, they scrapped the software and hardware … PX4 was born'
2011	미 공군 프레데터 생산 종료(모두 268대)	military	nasm-predator	fetched 2026-09-25 — 'U.S. Air Force Predator production ended in 2011 with 268 airframes completed'
2011	후타바가 2.4 GHz 확산 대역 방식 FASST 를 내놓음(Model Aviation 연표)	hobby	ma-rc-history	fetched 2026-09-25 — 'In 2011, Futaba introduced Futaba Advanced Spread Spectrum Technology (FASST)'
2012	미 육군 MQ-1C 그레이 이글 운용 시작	military	nasm-predator	fetched 2026-09-25 — 'the MQ-1C Gray Eagle, which began operations in 2012'
2012-01-08	패럿 AR.Drone 2.0 발표	consumer	https://hexus.net/ce/news/gadgets/33425-parrot-demonstrates-ardrone-20-ces/	websearch 2026-09-25 — 'announced on January 8, 2012, and released in May 2012'
2012-02-15	DJI 가 조립형 멀티콥터 키트 Flame Wheel F550 을 출시	consumer	https://www.dji.com/newsroom/news/dji-releases-flamewheel-f550-arf-kit	fetched 2026-09-25 — DJI 뉴스룸 목록 '2012-02-15 DJI releases "Flame Wheel" F550 ARF Kit'
2012-07-20	MultiWii 펌웨어(Wii 컨트롤러 센서로 시작한 멀티콥터 제어기) GitHub 저장소 생성	multirotor	gh-multiwii-repo	fetched 2026-09-25 — GitHub API created_at 2012-07-20T19:01:35Z; 시작 연도(2010 무렵)는 제조사 원문 없음(claims/p03.md)
2012-08-04	PX4 펌웨어 GitHub 저장소 생성	multirotor	gh-px4-repo	fetched 2026-09-25 — GitHub API created_at 2012-08-04T21:19:36Z
2012-09	아르스 일렉트로니카 퓨처랩이 린츠 클랑볼케 축제에서 LED 쿼드콥터 49대의 야외 편대 비행(Spaxels) — 대형 야외 드론쇼의 시작	show	spaxels-klangwolke	fetched 2026-09-25 — 'In September 2012 … a formation flight by 49 quadcopters', 'more than 90,000 spectators'
2013	PX4 첫 안정판 공개, 3D Robotics 가 Pixhawk(FMUv2) 하드웨어를 생산	multirotor	auterion-px4-history	fetched 2026-09-25 — 'Two years later, the first stable release was unveiled … partnered with manufacturer 3D Robotics to build and distribute the hardware'
2013-01-07	DJI Phantom 발표 — DJI 첫 소형 완성형(RTF) 멀티로터, Naza-M+GPS 자동 비행 장치 내장	consumer	dji-phantom-2013	fetched 2026-09-25 — 'The Phantom is DJI's first small size Ready-to-Fly VTOL, integrated multi-rotor aircraft … built-in Naza-M + GPS'
2013-01-09	ArduPilot GitHub 저장소 생성(현재 저장소 기준)	multirotor	gh-ardupilot-repo	fetched 2026-09-25 — GitHub API created_at 2013-01-09T00:58:52Z; 코드 저장소 자체는 2009-11 에 시작(ardupilot-history)
2013-07-26	FAA 가 무인기 두 기종에 제한 범주 형식증명을 발급 — 첫 상업 운항 승인으로 이어짐	law	faa-uas-timeline	fetched 2026-09-25 — 'FAA issued restricted category type certificates to a pair of unmanned aircraft systems'
2013-09-12	코노코필립스가 무인기 첫 상업 비행 — FAA 는 '북극을 소형 무인기에 연 비행'이라 적음	law	faa-uas-timeline	fetched 2026-09-25 — 'ConocoPhillips made the first commercial flight of an unmanned aircraft'
2013-11-07	FAA 가 첫 연례 무인기 통합 로드맵 발표	law	faa-uas-timeline	fetched 2026-09-25 — 'First Annual UAS Safety Roadmap Released'
2013-12-16	DJI Phantom 2 출시	consumer	https://www.dji.com/newsroom/news/dji-released-its-new-quadcopter-phantom-2	fetched 2026-09-25 — DJI 뉴스룸 목록 '2013-12-16 DJI released its new quadcopter Phantom 2'
2014-03	Emlid 가 라즈베리 파이에서 ArduPilot 을 돌리는 첫 자동 비행 쉴드 Navio 를 발표	multirotor	ardupilot-history	fetched 2026-09-25 — 'Mar 2014 - Emlid presented Navio, first Raspberry Pi autopilot shield'
2014-04-21	FAA 지정 무인기 시험장 가운데 첫 곳이 운영을 시작	law	faa-uas-timeline	fetched 2026-09-25 — 'First UAS Test Site Operational'
2014-05-13	패럿이 새 소비자 드론(Bebop)을 발표	consumer	parrot-press-archive	fetched 2026-09-25 — 보도자료 목록 'Introducing the new consumer drone - 13/05/2014'
2014-06-10	FAA 가 BP·AeroVironment 의 Puma AE 알래스카 측량 비행을 승인 — 육지 위 첫 상업 무인기 운용	law	faa-uas-timeline	fetched 2026-09-25 — 'the first time the FAA has authorized a commercial UAS operation over land'
2014-06-26	FAA 가 Instant Eye 를 인증 — FAA 인증을 받은 첫 무인 쿼드로터	law	faa-uas-timeline	fetched 2026-09-25 — 'the first unmanned quadrotor to receive FAA certification'
2014-09	트리지(Andrew Tridgell)와 CanberraUAV 가 ArduPilot 비행기로 Outback Challenge 우승	multirotor	ardupilot-history	fetched 2026-09-25 — 'Sep 2014 - Tridge & Canberra UAV win the Outback Challenge with an ArduPilot based UAV plane'
2014-11-07	패럿 Bebop 드론 출시	consumer	parrot-press-archive	fetched 2026-09-25 — 'PARROT BEBOP DRONE - Fly, film & photograph like a pro! - 07/11/2014'
2014-11-13	DJI Inspire 1 발표	consumer	https://www.dji.com/newsroom/news/announcing-the-dji-inspire-1	fetched 2026-09-25 — DJI 뉴스룸 목록 '2014-11-13 Announcing the DJI Inspire 1 Drone'
2014-12-22	FAA·업계가 'Know Before You Fly' 안전 캠페인을 시작	law	faa-uas-timeline	fetched 2026-09-25 — 'Know Before You Fly Campaign Begins'
2015	니컬러스 호르바체프스키가 드론 레이싱 리그(DRL)를 창립	racing	https://www.arabnews.com/node/1373021/saudi-arabia	websearch 2026-09-25 — 'founded the Drone Racing League in early 2015'(DRL 원문 미확인)
2015-01-26	백악관 앞뜰에 드론이 추락	law	faa-uas-timeline	fetched 2026-09-25 — 'Drone Crashes on White House Front Lawn'
2015-02-15	FAA 가 소형 무인기 일상 운용 규칙(Part 107) 틀을 제안	law	faa-uas-timeline	fetched 2026-09-25 — 'FAA proposed a framework of regulations, Part 107'
2015-04	3D Robotics 가 NAB 2015 에서 '스마트 드론' Solo 를 발표	consumer	https://dronelife.com/2015/04/13/3d-robotics-solo-drone-announcement/	websearch 2026-09-25 — 'unveiled its Solo quadcopter at NAB 2015'
2015-04-08	DJI Phantom 3 발표	consumer	https://www.dji.com/newsroom/news/dji-unveils-the-phantom-3-the-next-evolution-of-the-world-s-most-popular-consumer-drone	fetched 2026-09-25 — DJI 뉴스룸 목록 2015-04-08
2015-05	ArduPilot 에서 지상국 하나로 여러 기체를 띄운 첫 기록(처음 3대, 뒤에 50대)	multirotor	ardupilot-history	fetched 2026-09-25 — 'May 2015 - First documented multi-vehicle flight using only a single ground station (first three, then fifty!)'
2015-06-08	Betaflight GitHub 저장소 생성 — 레이싱용 비행 제어 펌웨어	racing	gh-betaflight-repo	fetched 2026-09-25 — GitHub API created_at 2015-06-08T10:37:44Z
2015-07-17	미국 정부가 인가한 첫 의료품 드론 배송 시연('Let's Fly Wisely')	delivery	faa-uas-timeline	fetched 2026-09-25 — 'First Government Sanctioned Delivery of Medical Supplies by UAS'
2015-10-29	Betaflight 2.1.0 GitHub 릴리스(저장소의 가장 이른 릴리스 객체)	racing	gh-betaflight-rel	fetched 2026-09-25 — published_at 2015-10-29T15:13:18Z
2015-11	인텔·아르스 일렉트로니카 퓨처랩 'Drone 100' — 독일 토르네슈에서 100대 동시 비행, 기네스 기록	show	gwr-news-2016-01	fetched 2026-09-25 — '"Drone 100" took place at Flugplatz Ahrenlohe, Tornesch, Germany, in November'
2015-11-20	패럿 Bebop 2 발표	consumer	parrot-press-archive	fetched 2026-09-25 — 'Parrot Bebop 2, the all-in-one drone! - 20/11/2015'
2015-11-27	DJI 첫 농업용 드론 Agras MG-1 발표 — 8개 로터, 액체 10 kg 넘게 적재	consumer	https://www.dji.com/media-center/announcements/dji-introduces-company-s-first-agriculture-drone	fetched 2026-09-25 — 'Shenzhen, Nov. 27, 2015 … The eight-rotor Agras can load more than 10 kilograms'
2015-12-14	FAA 가 소형 무인기 웹 등록 제도를 발표(2015-12-21 이전 모형기는 2016-02-19까지 등록)	law	faa-uas-timeline	fetched 2026-09-25 — 'register no later than February 19, 2016'
2016	짚라인이 르완다에서 자율 배송 서비스를 시작 — 혈액 배송	delivery	zipline-rwanda-2026	fetched 2026-09-25 — 'the first country in the world to launch Zipline's autonomous delivery service in 2016'
2016-01-06	이항(EHang)이 CES 에서 1인승 자율 비행체 EHang 184 를 공개	consumer	ehang-184-2016	fetched 2026-09-25 — 이항 보도자료 'Launches First-Ever Autonomous Aerial Vehicle "EHang 184" at CES'
2016-01-06	인텔 CEO 가 CES 기조연설에서 드론 100대 기네스 기록 영상을 처음 공개	show	gwr-news-2016-01	fetched 2026-09-25 — 'Published 06 January 2016 … shown for the first time on Wednesday during Intel CEO … keynote'
2016-01-22	FAA 온라인 등록 30일 만에 약 30만 명이 소형 무인기를 등록	law	faa-uas-timeline	fetched 2026-09-25 — 'nearly 300,000 owners … in the first 30 days'
2016-01-23	INAV 1.0 GitHub 릴리스	racing	gh-inav-rel	fetched 2026-09-25 — published_at 2016-01-23T04:03:40Z
2016-03	두바이 World Drone Prix — 15세 영국 조종사 루크 배니스터가 우승(상금 25만 달러)	racing	https://www.cnbc.com/2016/03/14/british-15-year-old-wins-250000-at-world-drone-prix-in-dubai.html	websearch 2026-09-25 — 기사 제목 'British 15 year old wins $250,000 at World Drone Prix, in Dubai'; 결승 날짜는 3월 12일·13일로 요약마다 엇갈려 달까지만 적음
2016-03	3DR 가 ArduPilot 직접 후원을 끊고 ArduPilot.org 가 결성됨	multirotor	ardupilot-history	fetched 2026-09-25 — 'March 2016 - 3DR ceases direct funding … Formation of the ardupilot.org'
2016-03-02	DJI Phantom 4 발표 — 전방 광학 센서 두 개로 장애물을 피하는 '지능형 비행 카메라'	consumer	https://www.dji.com/newsroom/news/dji-launches-new-era-of-intelligent-flying-cameras	fetched 2026-09-25 — 발표문 'Obstacle Sensing System features two forward-facing optical sensors'
2016-03-10	플러티(Flirtey)가 FAA 승인 아래 가정집으로 첫 소포를 드론 배송	delivery	faa-uas-timeline	fetched 2026-09-25 — 'Australian startup Flirtey made the first FAA-approved package delivery … to a house'
2016-05	ArduPilot 을 쓴 플러티 배송 드론이 스미소니언 항공우주박물관에 들어감	delivery	ardupilot-history	fetched 2026-09-25 — 'May 2016 - Flirtey delivery drone (using ArduPilot) is entered into Smithsonian'
2016-06-21	FAA 가 소형 무인기 일상 상업 운용 규칙 Part 107 을 확정	law	faa-uas-timeline	fetched 2026-09-25 — 'The FAA finalized the first operational rules, Part 107'
2016-08-29	14 CFR Part 107 시행 — 같은 날 사람 위 비행(CNN)·가시권 확장(PrecisionHawk) 첫 면제 발급	law	faa-uas-timeline	fetched 2026-09-25 — 'FAA implemented … 14 CFR part 107 … waivers … to CNN … to PrecisionHawk'
2016-09	드론코드 이사회 표결로 ArduPilot 등 GPLv3 프로젝트가 드론코드에서 빠짐	multirotor	ardupilot-history	fetched 2026-09-25 — 'Sep 2016 … to remove GPLv3 projects including ArduPilot from DroneCode'
2016-09-28	DJI Mavic Pro 발표 — 접이식 소형 기체	consumer	https://www.dji.com/media-center/announcements/dji-revolutionizes-personal-flight-with-new-mavic-pro-drone	fetched 2026-09-25 — 'Small Size And Folding Design Make Mavic Pro Perfect For Wherever You Go'
2016-11	인텔이 독일 크라일링에서 쇼 전용 드론 Shooting Star 500대를 동시에 띄워 기네스 기록 경신(조종사 1명)	show	gwr-news-2016-11	fetched 2026-09-25 — 'Krailling, Germany … 500 drones … operated by one pilot with a laptop'(기사 게시 2016-11-04, 비행일 미기재)
