# 생성 표 — tools/make_data.py 가 docs/FETCHED.txt 와 블로그 색인 에서 만든다. 손으로 고치지 말 것.
key	name	file
blog-generics-proposal	Go 블로그 “A Proposal for Adding Generics to Go” (12 January 2021)	blog/generics-proposal.txt
blog-get-familiar-with-workspaces	Go 블로그 “Get familiar with workspaces” (5 April 2022)	blog/get-familiar-with-workspaces.txt
blog-go1	Go 블로그 “Go version 1 is released” (28 March 2012)	blog/go1.txt
blog-go1-path	Go 블로그 “The path to Go 1” (14 March 2013)	blog/go1-path.txt
blog-go1-preview	Go 블로그 “A preview of Go version 1” (5 October 2011)	blog/go1-preview.txt
blog-go1.1	Go 블로그 “Go 1.1 is released” (13 May 2013)	blog/go1.1.txt
blog-go1.10	Go 블로그 “Go 1.10 is released” (16 February 2018)	blog/go1.10.txt
blog-go1.11	Go 블로그 “Go 1.11 is released” (24 August 2018)	blog/go1.11.txt
blog-go1.12	Go 블로그 “Go 1.12 is released” (25 February 2019)	blog/go1.12.txt
blog-go1.13	Go 블로그 “Go 1.13 is released” (3 September 2019)	blog/go1.13.txt
blog-go1.13-errors	Go 블로그 “Working with Errors in Go 1.13” (17 October 2019)	blog/go1.13-errors.txt
blog-go1.14	Go 블로그 “Go 1.14 is released” (25 February 2020)	blog/go1.14.txt
blog-go1.15	Go 블로그 “Go 1.15 is released” (11 August 2020)	blog/go1.15.txt
blog-go1.16	Go 블로그 “Go 1.16 is released” (16 February 2021)	blog/go1.16.txt
blog-go1.17	Go 블로그 “Go 1.17 is released” (16 August 2021)	blog/go1.17.txt
blog-go1.18	Go 블로그 “Go 1.18 is released!” (15 March 2022)	blog/go1.18.txt
blog-go1.19	Go 블로그 “Go 1.19 is released!” (2 August 2022)	blog/go1.19.txt
blog-go1.2	Go 블로그 “Go 1.2 is released” (1 December 2013)	blog/go1.2.txt
blog-go1.20	Go 블로그 “Go 1.20 is released!” (1 February 2023)	blog/go1.20.txt
blog-go1.21	Go 블로그 “Go 1.21 is released!” (8 August 2023)	blog/go1.21.txt
blog-go1.22	Go 블로그 “Go 1.22 is released!” (6 February 2024)	blog/go1.22.txt
blog-go1.23	Go 블로그 “Go 1.23 is released” (13 August 2024)	blog/go1.23.txt
blog-go1.24	Go 블로그 “Go 1.24 is released!” (11 February 2025)	blog/go1.24.txt
blog-go1.25	Go 블로그 “Go 1.25 is released” (12 August 2025)	blog/go1.25.txt
blog-go1.26	Go 블로그 “Go 1.26 is released” (10 February 2026)	blog/go1.26.txt
blog-go1.27	Go 블로그 “Go 1.27 is released” (19 August 2026)	blog/go1.27.txt
blog-go1.3	Go 블로그 “Go 1.3 is released” (18 June 2014)	blog/go1.3.txt
blog-go1.4	Go 블로그 “Go 1.4 is released” (10 December 2014)	blog/go1.4.txt
blog-go1.5	Go 블로그 “Go 1.5 is released” (19 August 2015)	blog/go1.5.txt
blog-go1.6	Go 블로그 “Go 1.6 is released” (17 February 2016)	blog/go1.6.txt
blog-go1.7	Go 블로그 “Go 1.7 is released” (15 August 2016)	blog/go1.7.txt
blog-go1.7-binary-size	Go 블로그 “Smaller Go 1.7 binaries” (18 August 2016)	blog/go1.7-binary-size.txt
blog-go1.8	Go 블로그 “Go 1.8 is released” (16 February 2017)	blog/go1.8.txt
blog-go1.9	Go 블로그 “Go 1.9 is released” (24 August 2017)	blog/go1.9.txt
blog-go116-module-changes	Go 블로그 “New module changes in Go 1.16” (18 February 2021)	blog/go116-module-changes.txt
blog-go119runtime	Go 블로그 “Go runtime: 4 years later” (26 September 2022)	blog/go119runtime.txt
blog-go15gc	Go 블로그 “Go GC: Prioritizing low latency and simplicity” (31 August 2015)	blog/go15gc.txt
blog-go2-here-we-come	Go 블로그 “Go 2, here we come!” (29 November 2018)	blog/go2-here-we-come.txt
blog-go2-next-steps	Go 블로그 “Next steps toward Go 2” (26 June 2019)	blog/go2-next-steps.txt
blog-go2draft	Go 블로그 “Go 2 Draft Designs” (28 August 2018)	blog/go2draft.txt
blog-gofix	Go 블로그 “Using go fix to modernize Go code” (17 February 2026)	blog/gofix.txt
blog-gofmt	Go 블로그 “go fmt your code” (23 January 2013)	blog/gofmt.txt
blog-goroutine-leak-profiles	Go 블로그 “Goroutine Leak Profiles” (2 September 2026)	blog/goroutine-leak-profiles.txt
blog-gotelemetry	Go 블로그 “Telemetry in Go 1.23 and beyond” (3 September 2024)	blog/gotelemetry.txt
blog-greenteagc	Go 블로그 “The Green Tea Garbage Collector” (29 October 2025)	blog/greenteagc.txt
blog-hello-world	Go 블로그 “Go: What's New in March 2010” (18 March 2010)	blog/hello-world.txt
blog-inliner	Go 블로그 “//go:fix inline and the source-level inliner” (10 March 2026)	blog/inliner.txt
blog-integration-test-coverage	Go 블로그 “Code coverage for Go integration tests” (8 March 2023)	blog/integration-test-coverage.txt
blog-intro-generics	Go 블로그 “An Introduction To Generics” (22 March 2022)	blog/intro-generics.txt
blog-introducing-gofix	Go 블로그 “Introducing Gofix” (15 April 2011)	blog/introducing-gofix.txt
blog-ismmkeynote	Go 블로그 “Getting to Go: The Journey of Go's Garbage Collector” (12 July 2018)	blog/ismmkeynote.txt
blog-jsonv2-exp	Go 블로그 “A new experimental Go API for JSON” (9 September 2025)	blog/jsonv2-exp.txt
blog-loopvar-preview	Go 블로그 “Fixing For Loops in Go 1.22” (19 September 2023)	blog/loopvar-preview.txt
blog-module-mirror-launch	Go 블로그 “Module Mirror and Checksum Database Launched” (29 August 2019)	blog/module-mirror-launch.txt
blog-modules2019	Go 블로그 “Go Modules in 2019” (19 December 2018)	blog/modules2019.txt
blog-osroot	Go 블로그 “Traversal-resistant file APIs” (12 March 2025)	blog/osroot.txt
blog-pgo	Go 블로그 “Profile-guided optimization in Go 1.21” (5 September 2023)	blog/pgo.txt
blog-pgo-preview	Go 블로그 “Profile-guided optimization preview” (8 February 2023)	blog/pgo-preview.txt
blog-ports	Go 블로그 “Go on ARM and Beyond” (17 December 2020)	blog/ports.txt
blog-race-detector	Go 블로그 “Introducing the Go Race Detector” (26 June 2013)	blog/race-detector.txt
blog-randv2	Go 블로그 “Evolving the Go Standard Library with math/rand/v2” (1 May 2024)	blog/randv2.txt
blog-range-functions	Go 블로그 “Range Over Function Types” (20 August 2024)	blog/range-functions.txt
blog-rebuild	Go 블로그 “Perfectly Reproducible, Verified Go Toolchains” (28 August 2023)	blog/rebuild.txt
blog-routing-enhancements	Go 블로그 “Routing Enhancements for Go 1.22” (13 February 2024)	blog/routing-enhancements.txt
blog-size-specialized-allocations	Go 블로그 “Size-Specialized Memory Allocation” (16 September 2026)	blog/size-specialized-allocations.txt
blog-slog	Go 블로그 “Structured Logging with slog” (22 August 2023)	blog/slog.txt
blog-stable-releases	Go 블로그 “Go becomes more stable” (16 March 2011)	blog/stable-releases.txt
blog-subtests	Go 블로그 “Using Subtests and Sub-benchmarks” (3 October 2016)	blog/subtests.txt
blog-supply-chain	Go 블로그 “How Go Mitigates Supply Chain Attacks” (31 March 2022)	blog/supply-chain.txt
blog-swisstable	Go 블로그 “Faster Go maps with Swiss Tables” (26 February 2025)	blog/swisstable.txt
blog-synctest	Go 블로그 “Testing concurrent code with testing/synctest” (19 February 2025)	blog/synctest.txt
blog-testing-b-loop	Go 블로그 “More predictable benchmarking with testing.B.Loop” (2 April 2025)	blog/testing-b-loop.txt
blog-testing-time	Go 블로그 “Testing Time (and other asynchronicities)” (26 August 2025)	blog/testing-time.txt
blog-toolchain	Go 블로그 “Forward Compatibility and Toolchain Management in Go 1.21” (14 August 2023)	blog/toolchain.txt
blog-toward-go2	Go 블로그 “Toward Go 2” (13 July 2017)	blog/toward-go2.txt
blog-type-construction-and-cycle-detection	Go 블로그 “Type Construction and Cycle Detection” (24 March 2026)	blog/type-construction-and-cycle-detection.txt
blog-unique	Go 블로그 “New unique package” (27 August 2024)	blog/unique.txt
blog-using-go-modules	Go 블로그 “Using Go Modules” (19 March 2019)	blog/using-go-modules.txt
blog-v2-go-modules	Go 블로그 “Go Modules: v2 and Beyond” (7 November 2019)	blog/v2-go-modules.txt
blog-versioning-proposal	Go 블로그 “A Proposal for Package Versioning in Go” (26 March 2018)	blog/versioning-proposal.txt
blog-wasi	Go 블로그 “WASI support in Go” (13 September 2023)	blog/wasi.txt
blog-wasmexport	Go 블로그 “Extensible Wasm Applications with Go” (13 February 2025)	blog/wasmexport.txt
blog-when-generics	Go 블로그 “When To Use Generics” (12 April 2022)	blog/when-generics.txt
blog-why-generics	Go 블로그 “Why Generics?” (31 July 2019)	blog/why-generics.txt
faq	Go FAQ	faq.txt
go1compat	Go 1 호환성 문서	go1compat.txt
godebug	GODEBUG 문서	godebug.txt
gomod-ref	go.mod 참조	gomod-ref.txt
modref	Go 모듈 참조	modref.txt
pre_go1	Go 1 이전 릴리스 기록	pre_go1.txt
proposal-README	Go 제안 과정 README	proposal-README.txt
release	Go 릴리스 기록	release.txt
relnotes-1.28	Go 1.28 릴리스 노트(초안)	relnotes/go1.28-draft.txt
spec	Go 언어 명세	spec.txt
splash	Go at Google (2012 SPLASH 발표문)	splash.txt
toolchain	Go 툴체인 문서	toolchain.txt
weekly	Go 주간 스냅숏 기록	weekly.txt
