# 8부 1장 — Go 1.25 의 기능 행. 파트 작성 서브에이전트가 쓴다.
id	version	kind	title	cite-key	cite-sec	slide-id
p8-125-cloner	1.25	stdlib	hash.Cloner·hash.XOF	relnotes-1.25	hash	p8-v125-small
p8-125-readlinkfs	1.25	stdlib	io/fs.ReadLinkFS	relnotes-1.25	io/fs	
p8-125-slogattrs	1.25	stdlib	slog.GroupAttrs·Record.Source	relnotes-1.25	log/slog	
p8-125-unicode	1.25	stdlib	unicode.CategoryAliases·Cn·LC	relnotes-1.25	unicode	p8-v125-small2
p8-125-regexpnames	1.25	stdlib	regexp 의 \p{Letter} 같은 이름	relnotes-1.25	regexp/syntax	
p8-125-multipart	1.25	stdlib	multipart.FileContentDisposition	relnotes-1.25	mime/multipart	
p8-125-goast	1.25	stdlib	go/ast.PreorderStack	relnotes-1.25	go/ast	p8-v125-goast
p8-125-varkind	1.25	stdlib	go/types.Var.Kind	relnotes-1.25	go/types	
p8-125-addexisting	1.25	stdlib	go/token.FileSet.AddExistingFiles	relnotes-1.25	go/token	
p8-125-darwin12	1.25	platform	macOS 12 Monterey 이상 요구	relnotes-1.25	Darwin	p8-v125-ports
p8-125-windowsarm	1.25	platform	windows/arm 을 담은 마지막 릴리스	relnotes-1.25	Windows	
p8-125-amd64fma	1.25	platform	GOAMD64=v3 이상에서 FMA 사용	relnotes-1.25	AMD64	
p8-125-loong64	1.25	platform	loong64 경쟁 탐지기·riscv64 plugin	relnotes-1.25	Loong64	
