# 연표 — tools/make_data.py 가 data/events.tsv(사람이
# 적음)와 모든 x.y.0 릴리스를 합쳐 만든다. 고칠 곳은
# events.tsv.
date	event	source	verified-how
2016-01-04	git 2.7.0 릴리스 — 노트의 새 기능 첫 항목: The appearance of "gitk", particularly on high DPI monitors, have been improved. "gitk" also comes with an undated translation for Swedish …	git 저장소 태그 v2.7.0	mirror 태그 v2.7.0 의 taggerdate
2016-03-28	git 2.8.0 릴리스 — 노트의 새 기능 첫 항목: It turns out "git clone" over rsync transport has been broken when the source repository has packed references for a long time, and nobody …	git 저장소 태그 v2.8.0	mirror 태그 v2.8.0 의 taggerdate
2016-06-13	2.9.0 — diff·log 가 기본으로 이름 변경을 감지하다	Documentation/RelNotes/2.9.0.adoc	Backward compatibility notes 의 "by default enable the rename detection"
2016-06-13	git 2.9.0 릴리스 — 노트의 새 기능 첫 항목: Comes with git-multimail 1.3.1 (in contrib/).	git 저장소 태그 v2.9.0	mirror 태그 v2.9.0 의 taggerdate
2016-09-02	git 2.10.0 릴리스 — 노트의 새 기능 첫 항목: "git pull --rebase --verify-signature" learned to warn the user that "--verify-signature" is a no-op when rebasing.	git 저장소 태그 v2.10.0	mirror 태그 v2.10.0 의 taggerdate
2016-11-29	2.11.0 — 참조 저장소(ref-store) 추상화가 들어와 참조의 백엔드를 갈아 끼울 길이 열리다	Documentation/RelNotes/2.11.0.adoc	"The ref-store abstraction was introduced to the refs API"
2016-11-29	git 2.11.0 릴리스 — 노트의 새 기능 첫 항목: Comes with new version of git-gui, now at its 0.21.0 tag.	git 저장소 태그 v2.11.0	mirror 태그 v2.11.0 의 taggerdate
2017-02-23	CWI 와 Google 이 첫 SHA-1 충돌(SHAttered)을 발표하다 — SHA-1 계산 약 9.2×10¹⁸ 번	Google Security Blog, "Announcing the first SHA1 collision", 2017-02-23	원문 curl 후 날짜·계산 수 문장 확인
2017-02-24	git 2.12.0 릴리스 — 노트의 새 기능 첫 항목: Various updates to "git p4".	git 저장소 태그 v2.12.0	mirror 태그 v2.12.0 의 taggerdate
2017-05-09	2.13.0 — 충돌 탐지 SHA-1(sha1dc, Marc Stevens·Dan Shumow)이 기본이 되다	Documentation/RelNotes/2.13.0.adoc	"has been integrated and made the default"
2017-05-09	git 2.13.0 릴리스 — 노트의 새 기능 첫 항목: "git describe" and "git name-rev" have been taught to take more than one refname patterns to restrict the set of refs to base their naming …	git 저장소 태그 v2.13.0	mirror 태그 v2.13.0 의 taggerdate
2017-05-24	Microsoft 가 Windows 코드(약 350만 파일, 약 300GB, 엔지니어 약 4,000명)를 Git/GVFS 로 옮겼다고 밝히다	Brian Harry, "The largest Git repo on the planet", devblogs.microsoft.com, 2017-05-24	원문 curl 후 수치 문장 확인
2017-08-04	2.14.0 — diff 의 들여쓰기 휴리스틱이 기본이 되다	Documentation/RelNotes/2.14.0.adoc	"The "indent" heuristics is now the default in "diff""
2017-08-04	git 2.14.0 릴리스 — 노트의 새 기능 첫 항목: The colors in which "git status --short --branch" showed the names of the current branch and its remote-tracking branch are now …	git 저장소 태그 v2.14.0	mirror 태그 v2.14.0 의 taggerdate
2017-10-30	git 2.15.0 릴리스 — 노트의 새 기능 첫 항목: An example that is now obsolete has been removed from a sample hook, and an old example in it that added a sign-off manually has been …	git 저장소 태그 v2.15.0	mirror 태그 v2.15.0 의 taggerdate
2018-01-17	2.16.0 — 쓸 해시 함수를 정하는 기반 구조가 들어와 SHA-1 바깥으로 가는 작업이 시작되다	Documentation/RelNotes/2.16.0.adoc	"An infrastructure to define what hash function is used in Git is introduced"
2018-01-17	git 2.16.0 릴리스 — 노트의 새 기능 첫 항목: An empty string as a pathspec element that means "everything" i.e. 'git add ""', is now illegal. We started this by first deprecating and …	git 저장소 태그 v2.16.0	mirror 태그 v2.16.0 의 taggerdate
2018-04-02	git 2.17.0 릴리스 — 노트의 새 기능 첫 항목: "diff" family of commands learned "--find-object=<object-id>" option to limit the findings to changes that involve the named object.	git 저장소 태그 v2.17.0	mirror 태그 v2.17.0 의 taggerdate
2018-05-22	2.13.7 등 — CVE-2018-11235: 서브모듈 이름에 "../" 를 넣는 공격	Documentation/RelNotes/2.13.7.adoc	data/cves.tsv
2018-06-04	Microsoft 가 GitHub 를 75억 달러에 인수한다고 발표하다	news.microsoft.com, "Microsoft to acquire GitHub for $7.5 billion", 2018-06-04	원문 curl 확인
2018-06-21	2.18.0 — 전송 프로토콜 v2 가 부분 복제를 지원하게 되다	Documentation/RelNotes/2.18.0.adoc	"Transfer protocol v2 learned to support the partial clone"
2018-06-21	git 2.18.0 릴리스 — 노트의 새 기능 첫 항목: Rename detection logic that is used in "merge" and "cherry-pick" has learned to guess when all of x/a, x/b and x/c have moved to z/a, z/b …	git 저장소 태그 v2.18.0	mirror 태그 v2.18.0 의 taggerdate
2018-09-10	2.19.0 — git range-diff(tbdiff 의 다시 짬)	Documentation/RelNotes/2.19.0.adoc	""git range-diff" is a reimplementation of "git tbdiff""
2018-09-10	git 2.19.0 릴리스 — 노트의 새 기능 첫 항목: "git diff" compares the index and the working tree. For paths added with intent-to-add bit, the command shows the full contents of them as …	git 저장소 태그 v2.19.0	mirror 태그 v2.19.0 의 taggerdate
2018-10-26	Microsoft 가 GitHub 인수를 마치다	blogs.microsoft.com, "Microsoft completes GitHub acquisition", 2018-10-26	원문 curl 확인
2018-12-09	2.20.0 — 팩이 많을 때 하나의 파일로 찾게 하는 다중 팩 색인(multi-pack-index)	Documentation/RelNotes/2.20.0.adoc	"a new mechanism to have a single file that …"(intro 목록)
2018-12-09	git 2.20.0 릴리스 — 노트의 새 기능 첫 항목: Running "git clone" against a project that contain two files with pathnames that differ only in cases on a case insensitive filesystem …	git 저장소 태그 v2.20.0	mirror 태그 v2.20.0 의 taggerdate
2019-02-24	git 2.21.0 릴리스 — 노트의 새 기능 첫 항목: The "http.version" configuration variable can be used with recent enough versions of cURL library to force the version of HTTP used to talk …	git 저장소 태그 v2.21.0	mirror 태그 v2.21.0 의 taggerdate
2019-06-07	git 2.22.0 릴리스 — 노트의 새 기능 첫 항목: "git checkout --no-overlay" can be used to trigger a new mode of checking out paths out of the tree-ish, that allows paths that match the …	git 저장소 태그 v2.22.0	mirror 태그 v2.22.0 의 taggerdate
2019-08-16	2.23.0 — git switch 와 git restore 가 checkout 의 두 역할을 나눠 맡다	Documentation/RelNotes/2.23.0.adoc	"Two new commands "git switch" and "git restore" are introduced"
2019-08-16	git 2.23.0 릴리스 — 노트의 새 기능 첫 항목: The "git fast-export/import" pair has been taught to handle commits with log messages in encoding other than UTF-8 better.	git 저장소 태그 v2.23.0	mirror 태그 v2.23.0 의 taggerdate
2019-11-04	2.24.0 — pre-merge-commit 훅	Documentation/RelNotes/2.24.0.adoc	"A new "pre-merge-commit" hook has been introduced"
2019-11-04	git 2.24.0 릴리스 — 노트의 새 기능 첫 항목: We now have an active interim maintainer for the Git-Gui part of the system. Praise and thank Pratyush Yadav for volunteering.	git 저장소 태그 v2.24.0	mirror 태그 v2.24.0 의 taggerdate
2020-01-13	2.25.0 — git sparse-checkout 명령	Documentation/RelNotes/2.25.0.adoc	"gained a dedicated "sparse-checkout" command"
2020-01-13	git 2.25.0 릴리스 — 노트의 새 기능 첫 항목: A tutorial on object enumeration has been added.	git 저장소 태그 v2.25.0	mirror 태그 v2.25.0 의 taggerdate
2020-03-22	2.26.0 — 전송 프로토콜 v2 가 기본이 되다	Documentation/RelNotes/2.26.0.adoc	"The transport protocol version 2 becomes the default one"
2020-03-22	git 2.26.0 릴리스 — 노트의 새 기능 첫 항목: Sample credential helper for using .netrc has been updated to work out of the box.	git 저장소 태그 v2.26.0	mirror 태그 v2.26.0 의 taggerdate
2020-05-31	git 2.27.0 릴리스 — 노트의 새 기능 첫 항목: A handful of options to configure SSL when talking to proxies have been added.	git 저장소 태그 v2.27.0	mirror 태그 v2.27.0 의 taggerdate
2020-07-26	2.28.0 — 새 저장소의 첫 브랜치 이름을 설정(init.defaultBranch)으로 정할 수 있게 되다	Documentation/RelNotes/2.28.0.adoc	"the default name used for the first branch in newly created repositories, is made configurable"
2020-07-26	git 2.28.0 릴리스 — 노트의 새 기능 첫 항목: The commands in the "diff" family learned to honor "diff.relative" configuration variable.	git 저장소 태그 v2.28.0	mirror 태그 v2.28.0 의 taggerdate
2020-10-01	GitHub 에서 새 저장소의 기본 브랜치가 main 이 되다(기존 저장소는 그대로)	GitHub Changelog 2020-10-01	원문 curl 후 "Existing repositories are not impacted" 확인
2020-10-19	2.29.0 — SHA-256 저장소 지원을 실험 기능으로 표시하다(SHA-1 저장소와의 상호운용은 아직 없음)	Documentation/RelNotes/2.29.0.adoc	"marked as experimental" · "there is no interoperability between SHA-1 and SHA-256 repositories yet"
2020-10-19	2.29.0 — git maintenance("git gc 의 큰형")	Documentation/RelNotes/2.29.0.adoc	""git maintenance", a "git gc"'s big brother, has been introduced"
2020-10-19	2.29.0 — 프로토콜 v2 가 다시 기본이 되다(2.27 에서 거친 곳이 남아 기본에서 내렸었다)	Documentation/RelNotes/2.29.0.adoc · 2.27.0.adoc	"has become the default again" · 2.27 의 "it has been demoted from the default"
2020-10-19	git 2.29.0 릴리스 — 노트의 새 기능 첫 항목: "git help log" has been enhanced by sharing more material from the documentation for the underlying "git rev-list" command.	git 저장소 태그 v2.29.0	mirror 태그 v2.29.0 의 taggerdate
2020-12-27	git 2.30.0 릴리스 — 노트의 새 기능 첫 항목: Userdiff for PHP update.	git 저장소 태그 v2.30.0	mirror 태그 v2.30.0 의 taggerdate
2021-03-15	git 2.31.0 릴리스 — 노트의 새 기능 첫 항목: The "--format=%(trailers)" mechanism gets enhanced to make it easier to design output for machine consumption.	git 저장소 태그 v2.31.0	mirror 태그 v2.31.0 의 taggerdate
2021-06-06	2.32.0 — 여러 팩에 걸친 역색인(reverse index, .rev)	Documentation/RelNotes/2.32.0.adoc	"An on-disk reverse-index … is introduced"
2021-06-06	git 2.32.0 릴리스 — 노트의 새 기능 첫 항목: It does not make sense to make ".gitattributes", ".gitignore" and ".mailmap" symlinks, as they are supposed to be usable from the object …	git 저장소 태그 v2.32.0	mirror 태그 v2.32.0 의 taggerdate
2021-08-16	git 2.33.0 릴리스 — 노트의 새 기능 첫 항목: "git send-email" learned the "--sendmail-cmd" command line option and the "sendemail.sendmailCmd" configuration variable, which is a more …	git 저장소 태그 v2.33.0	mirror 태그 v2.33.0 의 taggerdate
2021-11-14	2.34.0 — ort 가 recursive 대신 기본 머지 전략이 되다	Documentation/RelNotes/2.34.0.adoc	"The `ort` strategy is used instead of `recursive` as the default merge strategy"
2021-11-14	2.34.0 — GnuPG 말고 ssh 키로도 객체와 push 인증서에 서명할 수 있게 되다	Documentation/RelNotes/2.34.0.adoc	"ssh public crypto can be used for object and push-cert signing"
2021-11-14	git 2.34.0 릴리스 — 노트의 새 기능 첫 항목: Pathname expansion (like "~username/") learned a way to specify a location relative to Git installation (e.g. its $sharedir which is …	git 저장소 태그 v2.34.0	mirror 태그 v2.34.0 의 taggerdate
2022-01-24	git 2.35.0 릴리스 — 노트의 새 기능 첫 항목: "git status --porcelain=v2" now show the number of stash entries with --show-stash like the normal output does.	git 저장소 태그 v2.35.0	mirror 태그 v2.35.0 의 taggerdate
2022-03-24	2.30.3 등 — CVE-2022-24765: 다른 사용자 소유 저장소를 믿지 않게 되다(safe.directory 의 시작)	Documentation/RelNotes/2.30.3.adoc	data/cves.tsv
2022-04-17	git 2.36.0 릴리스 — 노트의 새 기능 첫 항목: Assorted updates to "git cat-file", especially "-h".	git 저장소 태그 v2.36.0	mirror 태그 v2.36.0 의 taggerdate
2022-06-27	2.37.0 — 도달할 수 없는 객체를 묶는 크러프트 팩(cruft pack)	Documentation/RelNotes/2.37.0.adoc	"A mechanism to pack unreachable objects into a "cruft pack" … has been introduced"
2022-06-27	git 2.37.0 릴리스 — 노트의 새 기능 첫 항목: "vimdiff[123]" mergetool drivers have been reimplemented with a more generic layout mechanism.	git 저장소 태그 v2.37.0	mirror 태그 v2.37.0 의 taggerdate
2022-10-02	git 2.38.0 릴리스 — 노트의 새 기능 첫 항목: "git remote show [-n] frotz" now pays attention to negative pathspec.	git 저장소 태그 v2.38.0	mirror 태그 v2.38.0 의 taggerdate
2022-12-12	git 2.39.0 릴리스 — 노트의 새 기능 첫 항목: "git grep" learned to expand the sparse-index more lazily and on demand in a sparse checkout.	git 저장소 태그 v2.39.0	mirror 태그 v2.39.0 의 taggerdate
2023-03-12	git 2.40.0 릴리스 — 노트의 새 기능 첫 항목: "merge-tree" learns a new `--merge-base` option.	git 저장소 태그 v2.40.0	mirror 태그 v2.40.0 의 taggerdate
2023-06-01	2.41.0 — gc 가 기본으로 크러프트 팩을 쓰다	Documentation/RelNotes/2.41.0.adoc	docs/relnotes-2.41.0.txt 의 cruft 항목(intro 목록)
2023-06-01	git 2.41.0 릴리스 — 노트의 새 기능 첫 항목: Allow information carried on the WWW-Authenticate header to be passed to the credential helpers.	git 저장소 태그 v2.41.0	mirror 태그 v2.41.0 의 taggerdate
2023-08-21	git 2.42.0 릴리스 — 노트의 새 기능 첫 항목: "git pack-refs" learns "--include" and "--exclude" to tweak the ref hierarchy to be packed using pattern matching.	git 저장소 태그 v2.42.0	mirror 태그 v2.42.0 의 taggerdate
2023-11-20	git 2.43.0 릴리스 — 노트의 새 기능 첫 항목: A message written in olden time prevented a branch from getting checked out, saying it is already checked out elsewhere. But these days, we …	git 저장소 태그 v2.43.0	mirror 태그 v2.43.0 의 taggerdate
2024-02-22	git 2.44.0 릴리스 — 노트의 새 기능 첫 항목: "git add" and "git stash" learned to support the ":(attr:...)" magic pathspec.	git 저장소 태그 v2.44.0	mirror 태그 v2.44.0 의 taggerdate
2024-04-29	2.45.0 — reftable 이 참조 백엔드로 들어오다(git init --ref-format=reftable)	Documentation/RelNotes/2.45.0.adoc	"Integrate the reftable code into the refs framework as a backend"
2024-04-29	git 2.45.0 릴리스 — 노트의 새 기능 첫 항목: Integrate the reftable code into the refs framework as a backend. With "git init --ref-format=reftable", hopefully it would be a lot more …	git 저장소 태그 v2.45.0	mirror 태그 v2.45.0 의 taggerdate
2024-07-29	2.46.0 — files 백엔드 저장소를 reftable 로 옮기는 명령이 들어오다(v2.55 문서의 이름은 git refs migrate)	Documentation/RelNotes/2.46.0.adoc · Documentation/git-refs.adoc (v2.55.0)	"A new command has been added to migrate a repository … to use the reftable backend" · docs/git-refs.txt 의 migrate 절
2024-07-29	git 2.46.0 릴리스 — 노트의 새 기능 첫 항목: The "--rfc" option of "git format-patch" learned to take an optional string value to be used in place of "RFC" to tweak the "[PATCH]" on …	git 저장소 태그 v2.46.0	mirror 태그 v2.46.0 의 taggerdate
2024-10-06	git 2.47.0 릴리스 — 노트의 새 기능 첫 항목: Many Porcelain commands that internally use the merge machinery were taught to consistently honor the diff.algorithm configuration.	git 저장소 태그 v2.47.0	mirror 태그 v2.47.0 의 taggerdate
2025-01-10	git 2.48.0 릴리스 — 노트의 새 기능 첫 항목: A new configuration variable remote.<name>.serverOption makes the transport layer act as if the --serverOption=<value> option is given from …	git 저장소 태그 v2.48.0	mirror 태그 v2.48.0 의 taggerdate
2025-03-14	2.49.0 — git backfill(부분 복제에서 blob 을 한꺼번에 받기)	Documentation/RelNotes/2.49.0.adoc	""git backfill" is introduced"
2025-03-14	2.49.0 — Rust 와의 외부 언어 인터페이스가 들어오다	Documentation/RelNotes/2.49.0.adoc · Documentation/BreakingChanges.adoc	"Foreign language interface for Rust into our code base has been added" · BreakingChanges 의 "started to adopt Rust in Git 2.49"
2025-03-14	git 2.49.0 릴리스 — 노트의 새 기능 첫 항목: Completion script updates for zsh	git 저장소 태그 v2.49.0	mirror 태그 v2.49.0 의 taggerdate
2025-06-13	2.43.7 등 — CVE-2025-48384 를 비롯한 7건(설정의 끝 CR·bundle URI·gitk·Git GUI)	Documentation/RelNotes/2.43.7.adoc	2026-09 기준: data/cves.tsv
2025-06-15	git 2.50.0 릴리스 — 노트의 새 기능 첫 항목: A post-processing filter for "diff --raw" output has been introduced.	git 저장소 태그 v2.50.0	mirror 태그 v2.50.0 의 taggerdate
2025-08-17	git 2.51.0 릴리스 — 노트의 새 기능 첫 항목: Userdiff patterns for the R language have been added.	git 저장소 태그 v2.51.0	mirror 태그 v2.51.0 의 taggerdate
2025-11-17	2.52.0 — git last-modified·git repo 명령	Documentation/RelNotes/2.52.0.adoc	"A new command "git last-modified" has been added" · "A new subcommand "git repo""
2025-11-17	git 2.52.0 릴리스 — 노트의 새 기능 첫 항목: The "list" subcommand of "git refs" acts as a front-end for "git for-each-ref".	git 저장소 태그 v2.52.0	mirror 태그 v2.52.0 의 taggerdate
2026-02-01	git 2.53.0 릴리스 — 노트의 새 기능 첫 항목: "git maintenance" command learned "is-needed" subcommand to tell if it is necessary to perform various maintenance tasks.	git 저장소 태그 v2.53.0	mirror 태그 v2.53.0 의 taggerdate
2026-04-19	git 2.54.0 릴리스 — 노트의 새 기능 첫 항목: "git add -p" and friends note what the current status of the hunk being shown is.	git 저장소 태그 v2.54.0	mirror 태그 v2.54.0 의 taggerdate
2026-06	2026-09 기준 Git 3.0 의 계획 — 새 저장소의 기본 해시 SHA-256, 기본 참조 형식 reftable, 기본 브랜치 main, Rust 필수. 출시일은 정해지지 않았다	Documentation/BreakingChanges.adoc (v2.55.0)	2026-09 기준: docs/BreakingChanges.txt 의 "Git 3.0" 절 — "There is no planned release date for this breaking version yet"
2026-06-29	2.55.0 — 설정으로 정한 훅을 병렬로 돌릴 수 있게 되다 · 2.55.0 까지 커밋 81,348개, 기여자 2,335명(2026-09 기준 최신 정식판)	Documentation/RelNotes/2.55.0.adoc · 태그 v2.55.0	2026-09 기준: mirror(2026-09-18 복제)의 최신 x.y.0 태그 · git rev-list --count v2.55.0 · git shortlog -sn v2.55.0 | wc -l
2026-06-29	git 2.55.0 릴리스 — 노트의 새 기능 첫 항목: Hook scripts defined via the configuration system can now be configured to run in parallel.	git 저장소 태그 v2.55.0	mirror 태그 v2.55.0 의 taggerdate
2026-09-16	v2.56.0-rc1 태그(2026-09 기준 다음 판 준비 중)	git 저장소 태그 v2.56.0-rc1	2026-09 기준: mirror 태그 날짜
