# 명령의 한국어 한 줄 설명 — 17부를 쓸 때 채운다. 출처는 그 명령의 공식 문서(docs/<명령>.txt).
command	summary-ko
git-describe	가까운 ref 를 바탕으로 객체에 사람이 읽는 이름을 붙인다
git-diagnose	진단 정보를 zip 아카이브로 만든다
git-diff	커밋 사이, 커밋과 작업 트리 사이 등의 변경을 보인다
git-diff-files	작업 트리와 인덱스의 파일을 비교한다
git-diff-index	트리를 작업 트리나 인덱스와 비교한다
git-diff-pairs	주어진 blob 쌍의 내용과 모드를 비교한다
git-diff-tree	두 트리 객체에서 찾은 blob 의 내용과 모드를 비교한다
git-difftool	흔한 diff 도구로 변경을 보인다
git-fast-export	Git 데이터를 내보낸다
git-fast-import	빠른 데이터 가져오기 도구들의 뒷단
git-fetch	다른 저장소에서 객체와 ref 를 받아 온다
git-fetch-pack	다른 저장소에서 빠진 객체를 받는다
git-filter-branch	브랜치를 다시 쓴다
git-fmt-merge-msg	머지 커밋 메시지를 만든다
git-for-each-ref	ref 마다 정보를 출력한다
git-for-each-repo	저장소 목록의 각 저장소에서 Git 명령을 돌린다
git-format-patch	메일로 보낼 패치를 만든다
git-format-rev	(실험) 요청에 따라 리비전을 예쁘게 찍는다
git-fsck	객체 데이터베이스의 연결성과 유효성을 검사한다
git-gc	불필요한 파일을 치우고 로컬 저장소를 최적화한다
git-get-tar-commit-id	git-archive 로 만든 아카이브에서 커밋 ID 를 꺼낸다
git-grep	패턴에 맞는 줄을 찍는다
git-gui	Git 의 이식 가능한 그래픽 인터페이스
git-hash-object	파일의 객체 ID 를 계산하고, 원하면 객체로 만든다
git-help	Git 의 도움말을 보인다
git-history	(실험) 역사를 다시 쓴다
git-hook	Git 훅을 돌린다
git-http-backend	HTTP 위의 Git 서버 쪽 구현
git-http-fetch	HTTP 로 원격 Git 저장소에서 받아 온다
git-http-push	HTTP/DAV 로 다른 저장소에 객체를 보낸다
git-imap-send	표준 입력의 패치 묶음을 IMAP 폴더로 보낸다
git-index-pack	있는 팩 파일의 색인 파일을 만든다
git-init	빈 Git 저장소를 만들거나 기존 저장소를 다시 초기화한다
git-instaweb	작업 중인 저장소를 gitweb 으로 곧바로 둘러본다
git-interpret-trailers	커밋 메시지의 구조화된 정보(트레일러)를 더하거나 읽는다
git-last-modified	(실험) 파일이 마지막으로 바뀐 때를 보인다
git-log	커밋 기록을 보인다
git-ls-files	인덱스와 작업 트리의 파일 정보를 보인다
git-ls-remote	원격 저장소의 ref 를 나열한다
git-ls-tree	트리 객체의 내용을 나열한다
git-mailinfo	메일 한 통에서 패치와 작성자 정보를 뽑는다
git-mailsplit	간단한 유닉스 mbox 쪼개기 프로그램
git-maintenance	저장소 데이터를 최적화하는 작업을 돌린다
git-merge	둘 이상의 개발 역사를 합친다
git-merge-base	머지에 쓸 가장 좋은 공통 조상을 찾는다
git-merge-file	파일 하나의 3-way 머지를 한다
git-merge-index	머지가 필요한 파일에 머지를 돌린다
git-merge-one-file	git-merge-index 와 함께 쓰는 표준 도우미
git-merge-tree	인덱스나 작업 트리를 건드리지 않고 머지한다
git-mergetool	머지 충돌을 푸는 도구를 돌린다
git-mktag	검증을 더해 태그 객체를 만든다
git-mktree	ls-tree 꼴의 글에서 트리 객체를 만든다
git-multi-pack-index	다중 팩 색인을 쓰고 검증한다
git-mv	파일·디렉터리·심볼릭 링크를 옮기거나 이름을 바꾼다
git-name-rev	주어진 리비전의 기호 이름을 찾는다
git-notes	객체에 노트를 달거나 살펴본다
git-p4	Perforce 저장소에서 가져오고 제출한다
git-pack-objects	객체들의 팩 아카이브를 만든다
git-pack-redundant	남아도는 팩 파일을 찾는다
git-pack-refs	빠른 접근을 위해 head 와 태그를 한 파일에 묶는다
git-patch-id	패치의 고유 ID 를 계산한다
git-prune	닿지 않는 객체를 객체 데이터베이스에서 모두 지운다
git-prune-packed	이미 팩에 든 여분의 객체를 지운다
git-pull	다른 저장소나 로컬 브랜치에서 받아 와 합친다
git-push	원격 ref 를 딸린 객체와 함께 갱신한다
git-quiltimport	quilt 패치 묶음을 현재 브랜치에 적용한다
git-range-diff	두 커밋 범위를 비교한다(한 브랜치의 두 판 같은)
git-read-tree	트리 정보를 인덱스로 읽어 들인다
git-rebase	커밋들을 다른 기준 끝 위에 다시 적용한다
git-receive-pack	저장소로 push 된 것을 받는다
git-reflog	reflog 정보를 관리한다
git-refs	ref 에 대한 저수준 접근
git-remote	추적하는 저장소들의 목록을 관리한다
git-repack	풀린 객체를 팩으로 묶는다
git-replace	객체를 바꿔치는 ref 를 만들고·나열하고·지운다
git-replay	(실험) 커밋을 새 기준 위에 다시 재생한다 — bare 저장소에서도
git-repo	저장소에 관한 정보를 꺼낸다
git-request-pull	대기 중인 변경의 요약을 만든다
git-rerere	충돌한 머지의 기록된 해결을 재사용한다
git-reset	HEAD 나 인덱스를 알려진 상태로 둔다
git-restore	작업 트리 파일을 되돌린다
git-rev-list	커밋 객체를 시간 역순으로 나열한다
git-rev-parse	매개변수를 골라내고 다듬는다
git-revert	기존 커밋들을 되돌린다
git-rm	파일을 작업 트리와 인덱스에서 지운다
git-send-email	패치 묶음을 메일로 보낸다
git-send-pack	Git 프로토콜로 다른 저장소에 객체를 보낸다
git-sh-i18n	셸 스크립트용 Git 국제화 설정 코드
git-sh-setup	셸 스크립트용 Git 공통 설정 코드
git-shell	Git 만 쓰는 SSH 접속용 제한 로그인 셸
git-shortlog	git log 출력을 요약한다
git-show	여러 종류의 객체를 보인다
git-show-branch	브랜치들과 그 커밋을 보인다
git-show-index	팩 색인을 보인다
git-show-ref	로컬 저장소의 ref 를 나열한다
git-sparse-checkout	작업 트리를 추적 파일의 일부로 줄인다
git-stage	파일 내용을 스테이징 영역에 올린다(add 의 다른 이름)
git-stash	더러운 작업 디렉터리의 변경을 치워 둔다
git-status	작업 트리의 상태를 보인다
git-stripspace	불필요한 공백을 없앤다
git-submodule	서브모듈을 초기화·갱신·검사한다
git-svn	Subversion 저장소와 Git 사이의 양방향 작업
git-switch	브랜치를 바꾼다
git-symbolic-ref	기호 ref 를 읽고·고치고·지운다
git-tag	태그를 만들고·나열하고·지우고·검증한다
git-unpack-file	blob 의 내용으로 임시 파일을 만든다
git-unpack-objects	팩 아카이브의 객체를 풀어 놓는다
git-update-index	작업 트리의 파일 내용을 인덱스에 등록한다
git-update-ref	ref 에 적힌 객체 이름을 안전하게 바꾼다
git-update-server-info	멍청한(dumb) 서버를 돕는 보조 정보 파일을 갱신한다
git-upload-archive	아카이브를 git-archive 에 돌려보낸다
git-upload-pack	팩으로 묶은 객체를 git-fetch-pack 에 돌려보낸다
git-url-parse	git URL 을 해석해 부분을 꺼낸다
git-var	Git 의 논리 변수를 보인다
git-verify-commit	커밋의 GPG 서명을 확인한다
git-verify-pack	팩 파일을 검증한다
git-verify-tag	태그의 GPG 서명을 확인한다
git-version	Git 의 판 정보를 보인다
git-whatchanged	커밋마다 들여온 변경과 함께 기록을 보인다
git-worktree	여러 작업 트리를 관리한다
git-write-tree	현재 인덱스로 트리 객체를 만든다
gitattributes	경로마다 속성을 정한다
gitcli	Git 명령줄 인터페이스와 관례
gitcore-tutorial	개발자를 위한 Git 코어 입문
gitcredentials	Git 에 사용자 이름과 비밀번호를 주는 법
gitcvs-migration	CVS 사용자를 위한 Git
gitdiffcore	diff 출력 다듬기
giteveryday	날마다 쓰는 Git 의 최소 명령 모음
gitfaq	Git 사용에 관한 자주 묻는 질문
gitformat-bundle	bundle 파일 형식
gitformat-chunk	청크 기반 파일 형식
gitformat-commit-graph	Git 커밋 그래프 형식
gitformat-index	Git 인덱스 형식
gitformat-pack	Git 팩 형식
gitformat-signature	Git 암호 서명 형식
gitglossary	Git 용어집
githooks	Git 이 쓰는 훅
gitignore	일부러 추적하지 않을 파일을 정한다
gitk	Git 저장소 둘러보기 도구
gitmailmap	작성자·커미터의 이름과 메일을 대응시킨다
gitmodules	서브모듈의 속성을 정한다
gitnamespaces	Git 이름공간
gitprotocol-capabilities	프로토콜 v0·v1 의 능력(capability)
gitprotocol-common	여러 프로토콜에 공통인 것들
gitprotocol-http	HTTP 기반 Git 프로토콜
gitprotocol-pack	팩이 전선을 타고 전송되는 방식
gitprotocol-v2	Git 전선 프로토콜 버전 2
gitremote-helpers	원격 저장소와 대화하는 도우미 프로그램
gitrepository-layout	Git 저장소의 배치
gitrevisions	Git 에서 리비전과 범위를 가리키는 법
gitsubmodules	한 저장소를 다른 저장소 안에 올리기
gittutorial	Git 입문
gittutorial-2	Git 입문 2부
gitweb	Git 웹 인터페이스(Git 저장소의 웹 앞단)
gitworkflows	권장하는 Git 작업 흐름 개관
scalar	큰 Git 저장소를 관리하는 도구
