# 보안 결함 — docs/ 의 릴리스 노트에 적힌 CVE 전부
# (cURL 의 것 하나 뺌). tools/make_data.py 가 만든다.
# noted-in 은 그 CVE 를 이름으로 적은 모든 노트의 판 —
# 고친 판만이 아니라 "c.f." 로 언급만 한 판도 들어가고,
# CVE 이름 없이 앞 판의 수정을 합친 판은 빠진다.
# affected·summary 는 data/cves_ko.tsv.
cve	year	affected	noted-in	summary	source
CVE-2019-1387	2019	서브모듈	2.14.6 2.15.4 2.16.6 2.17.3 2.18.2 2.19.3 2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	서브모듈 이름 검사가 느슨해 재귀 복제에서 표적 원격 코드 실행이 가능했다	Documentation/RelNotes/2.14.6.adoc (v2.55.0)
CVE-2019-19604	2019	서브모듈	2.20.2 2.21.1 2.22.2 2.23.1 2.24.1	.gitmodules 의 submodule.<이름>.update=!명령 으로 재귀 복제 뒤 submodule update 가 저장소 안의 코드를 실행할 수 있었다	Documentation/RelNotes/2.20.2.adoc (v2.55.0)
CVE-2020-5260	2020	자격 증명	2.17.4 2.17.5	줄바꿈이 든 URL 로 자격 증명 도우미가 엉뚱한 호스트의 자격 증명을 내주게 할 수 있었다	Documentation/RelNotes/2.17.4.adoc (v2.55.0)
CVE-2020-11008	2020	자격 증명	2.17.5	줄바꿈·빈 호스트·스킴 없는 URL 로 도우미가 맞지 않는 자격 증명을 내주게 할 수 있었다	Documentation/RelNotes/2.17.5.adoc (v2.55.0)
CVE-2021-21300	2021	clean/smudge 필터	2.17.6 2.18.5 2.19.6 2.20.5 2.21.4 2.22.5 2.23.4 2.24.4 2.25.5 2.26.3 2.27.1 2.28.1 2.29.3 2.30.2 2.31.0	대소문자를 가리지 않고 심볼릭 링크를 쓰는 파일 시스템에서, 지연 필터(Git LFS 등)가 켜져 있으면 복제 중 원격 코드가 실행될 수 있었다	Documentation/RelNotes/2.17.6.adoc (v2.55.0)
CVE-2022-23521	2022	gitattributes	2.30.7	패턴·속성이 아주 많거나 이름이 아주 긴 .gitattributes 가 정수 넘침으로 힙을 읽고 쓰게 할 수 있었다	Documentation/RelNotes/2.30.7.adoc (v2.55.0)
CVE-2022-24765	2022	저장소 소유자(safe.directory)	2.30.3 2.30.4 2.30.5 2.31.2 2.32.1 2.33.2 2.34.2 2.35.2 2.36.0	다중 사용자 기계에서 다른 사용자가 만든 상위 디렉터리의 .git 에 들어가, 프롬프트의 git status 만으로도 그 사용자가 정한 명령이 실행될 수 있었다	Documentation/RelNotes/2.30.3.adoc (v2.55.0)
CVE-2022-29187	2022	저장소 소유자(safe.directory)	2.30.5 2.31.4 2.32.3 2.33.4 2.34.4 2.35.4 2.36.2 2.37.1	소유자 검사를 작업 트리뿐 아니라 git 디렉터리와 .git 파일까지 넓혔다	Documentation/RelNotes/2.30.5.adoc (v2.55.0)
CVE-2022-39253	2022	로컬 복제	2.30.6 2.30.8 2.37.4	--local 복제가 원본의 심볼릭 링크를 따라가 임의의 파일을 새 저장소의 $GIT_DIR 에 넣을 수 있었다 — protocol.file.allow 기본값이 user 로 바뀌었다	Documentation/RelNotes/2.30.6.adoc (v2.55.0)
CVE-2022-39260	2022	git shell	2.30.6 2.37.4	아주 긴 명령 문자열이 split_cmdline() 을 넘쳐 힙에 쓰고 원격 코드를 실행할 수 있었다	Documentation/RelNotes/2.30.6.adoc (v2.55.0)
CVE-2022-41903	2022	log --format · archive	2.30.7	형식 지정자의 채움 연산자에서 정수 넘침이 일어나 힙에 임의로 쓸 수 있었다(export-subst 를 거친 git archive 로도)	Documentation/RelNotes/2.30.7.adoc (v2.55.0)
CVE-2023-22490	2023	로컬 복제	2.30.8 2.31.7 2.32.6 2.33.7 2.34.7 2.35.7 2.36.5 2.37.6 2.38.4 2.39.2	로컬이 아닌 전송에서도 로컬 복제 최적화를 쓰게 속여, 피해자 파일 시스템의 파일을 빼낼 수 있었다	Documentation/RelNotes/2.30.8.adoc (v2.55.0)
CVE-2023-23946	2023	git apply	2.30.8 2.31.7 2.32.6 2.33.7 2.34.7 2.35.7 2.36.5 2.37.6 2.38.4 2.39.2	조작한 입력으로 작업 트리 밖의 경로를 덮어쓸 수 있었다	Documentation/RelNotes/2.30.8.adoc (v2.55.0)
CVE-2023-25652	2023	git apply --reject	2.30.9 2.31.8 2.32.7 2.33.8 2.34.8 2.35.8 2.36.6 2.37.7 2.38.5 2.39.3 2.40.1	거부된 덩어리의 내용으로 작업 트리 밖의 경로를 덮어쓸 수 있었다	Documentation/RelNotes/2.30.9.adoc (v2.55.0)
CVE-2023-25815	2023	gettext	2.30.9 2.31.8 2.32.7 2.33.8 2.34.8 2.35.8 2.36.6 2.37.7 2.38.5 2.39.3 2.40.1	번역 없이 도는 runtime-prefix 빌드가 엉뚱한 곳에서 번역 메시지를 찾아, 조작한 메시지를 보이게 할 수 있었다	Documentation/RelNotes/2.30.9.adoc (v2.55.0)
CVE-2023-29007	2023	설정 파일	2.30.9 2.31.8 2.32.7 2.33.8 2.34.8 2.35.8 2.36.6 2.37.7 2.38.5 2.39.3 2.40.1	설정 절을 바꾸거나 지울 때 악의적인 값이 새 절의 시작으로 읽혀 설정을 주입할 수 있었다	Documentation/RelNotes/2.30.9.adoc (v2.55.0)
CVE-2024-32002	2024	서브모듈 · 심볼릭 링크	2.39.4 2.40.2 2.41.1 2.42.2 2.43.4 2.44.1 2.45.1	대소문자를 가리지 않는 파일 시스템에서 재귀 복제가 방금 받은 코드를 복제 중에 실행하게 속을 수 있었다	Documentation/RelNotes/2.39.4.adoc (v2.55.0)
CVE-2024-32004	2024	로컬 복제	2.39.4 2.40.2 2.41.1 2.42.2 2.43.4 2.44.1 2.45.1	로컬 복제 중 임의의 코드를 실행하도록 저장소를 설정할 수 있었다 — 2.30.3 의 소유자 검사를 로컬 복제에도 적용	Documentation/RelNotes/2.39.4.adoc (v2.55.0)
CVE-2024-32020	2024	로컬 복제	2.39.4 2.40.2 2.41.1 2.42.2 2.43.4 2.44.1 2.45.1	같은 디스크의 다른 사용자 저장소에서 하드 링크로 가져온 객체를 그 사용자가 언제든 바꿀 수 있었다	Documentation/RelNotes/2.39.4.adoc (v2.55.0)
CVE-2024-32021	2024	로컬 복제	2.39.4 2.40.2 2.41.1 2.42.2 2.43.4 2.44.1 2.45.1	심볼릭 링크가 든 원본을 복제하면 objects/ 에 임의의 읽을 수 있는 파일로 가는 하드 링크가 생길 수 있었다	Documentation/RelNotes/2.39.4.adoc (v2.55.0)
CVE-2024-32465	2024	복제	2.39.4 2.40.2 2.41.1 2.42.2 2.43.4 2.44.1 2.45.1	압축 파일에서 푼 믿을 수 없는 저장소를 복제할 때 임의의 코드가 실행되게 속을 수 있었다	Documentation/RelNotes/2.39.4.adoc (v2.55.0)
CVE-2024-50349	2024	URL · 자격 증명	2.40.4 2.41.3 2.42.4 2.43.6 2.44.3 2.45.3 2.46.3 2.47.2 2.48.1	제어 문자가 든 URL 을 받아들였다 — 이제 거부한다	Documentation/RelNotes/2.40.4.adoc (v2.55.0)
CVE-2024-52006	2024	URL · 자격 증명	2.40.4 2.41.3 2.42.4 2.43.6 2.44.3 2.45.3 2.46.3 2.47.2 2.48.1	제어 문자가 든 URL 을 받아들였다 — 이제 거부한다	Documentation/RelNotes/2.40.4.adoc (v2.55.0)
CVE-2025-27613	2025	gitk	2.43.7 2.44.4 2.45.4 2.46.4 2.47.3 2.48.2 2.49.1 2.50.1	믿을 수 없는 저장소에서 gitk 를 띄우면 쓸 수 있는 아무 파일이나 만들고 비울 수 있었다	Documentation/RelNotes/2.43.7.adoc (v2.55.0)
CVE-2025-27614	2025	gitk	2.43.7 2.44.4 2.45.4 2.46.4 2.47.3 2.48.2 2.49.1 2.50.1	특정한 꼴의 파일 이름으로 gitk filename 을 부르게 해 공격자의 스크립트를 실행시킬 수 있었다	Documentation/RelNotes/2.43.7.adoc (v2.55.0)
CVE-2025-46334	2025	Git GUI(Windows)	2.43.7 2.44.4 2.45.4 2.46.4 2.47.3 2.48.2 2.49.1 2.50.1	저장소에 든 sh.exe·astextplain 같은 실행 파일이 메뉴에서 실행될 수 있었다	Documentation/RelNotes/2.43.7.adoc (v2.55.0)
CVE-2025-46835	2025	Git GUI	2.43.7 2.44.4 2.45.4 2.46.4 2.47.3 2.48.2 2.49.1 2.50.1	악의적인 이름의 디렉터리 안 파일을 편집하게 해 쓸 수 있는 아무 파일이나 만들고 덮어쓸 수 있었다	Documentation/RelNotes/2.43.7.adoc (v2.55.0)
CVE-2025-48384	2025	설정 · 서브모듈	2.43.7 2.44.4 2.45.4 2.46.4 2.47.3 2.48.2 2.49.1 2.50.1	끝에 CR 이 붙은 서브모듈 경로가 설정을 거치며 CR 을 잃어 엉뚱한 곳에 체크아웃되고, 훅이 실행될 수 있었다	Documentation/RelNotes/2.43.7.adoc (v2.55.0)
CVE-2025-48385	2025	bundle URI	2.43.7 2.44.4 2.45.4 2.46.4 2.47.3 2.48.2 2.49.1 2.50.1	서버가 광고한 번들을 충분히 검증하지 않아 프로토콜 주입으로 번들을 공격자가 정한 곳에 쓰게 할 수 있었다	Documentation/RelNotes/2.43.7.adoc (v2.55.0)
CVE-2025-48386	2025	wincred 도우미	2.43.7 2.44.4 2.45.4 2.46.4 2.47.3 2.48.2 2.49.1 2.50.1	정적 버퍼에 이어 붙일 때 남은 공간을 검사하지 않아 넘칠 수 있었다	Documentation/RelNotes/2.43.7.adoc (v2.55.0)
