# 릴리스 — 모든 x.y.0 태그. tools/make_data.py 가
# mirror 에서 만든다(손으로 고치지 말 것). first-feature 는
# 그 판 노트의 새 기능 절 첫 항목을 원문 그대로 줄인 것이다
# (대표 기능이 아니다). 1.0.0‥1.4.0 은 노트 파일이 없다.
version	date	first-feature	relnotes-file	verified-how
2.39.0	2022-12-12	"git grep" learned to expand the sparse-index more lazily and on demand in a sparse checkout.	RelNotes/2.39.0.adoc	mirror 태그 v2.39.0 의 taggerdate
2.40.0	2023-03-12	"merge-tree" learns a new `--merge-base` option.	RelNotes/2.40.0.adoc	mirror 태그 v2.40.0 의 taggerdate
2.41.0	2023-06-01	Allow information carried on the WWW-Authenticate header to be passed to the credential helpers.	RelNotes/2.41.0.adoc	mirror 태그 v2.41.0 의 taggerdate
2.42.0	2023-08-21	"git pack-refs" learns "--include" and "--exclude" to tweak the ref hierarchy to be packed using pattern matching.	RelNotes/2.42.0.adoc	mirror 태그 v2.42.0 의 taggerdate
2.43.0	2023-11-20	A message written in olden time prevented a branch from getting checked out, saying it is already checked out elsewhere. But these days, we …	RelNotes/2.43.0.adoc	mirror 태그 v2.43.0 의 taggerdate
2.44.0	2024-02-22	"git add" and "git stash" learned to support the ":(attr:...)" magic pathspec.	RelNotes/2.44.0.adoc	mirror 태그 v2.44.0 의 taggerdate
2.45.0	2024-04-29	Integrate the reftable code into the refs framework as a backend. With "git init --ref-format=reftable", hopefully it would be a lot more …	RelNotes/2.45.0.adoc	mirror 태그 v2.45.0 의 taggerdate
2.46.0	2024-07-29	The "--rfc" option of "git format-patch" learned to take an optional string value to be used in place of "RFC" to tweak the "[PATCH]" on …	RelNotes/2.46.0.adoc	mirror 태그 v2.46.0 의 taggerdate
2.47.0	2024-10-06	Many Porcelain commands that internally use the merge machinery were taught to consistently honor the diff.algorithm configuration.	RelNotes/2.47.0.adoc	mirror 태그 v2.47.0 의 taggerdate
2.48.0	2025-01-10	A new configuration variable remote.<name>.serverOption makes the transport layer act as if the --serverOption=<value> option is given from …	RelNotes/2.48.0.adoc	mirror 태그 v2.48.0 의 taggerdate
2.49.0	2025-03-14	Completion script updates for zsh	RelNotes/2.49.0.adoc	mirror 태그 v2.49.0 의 taggerdate
2.50.0	2025-06-15	A post-processing filter for "diff --raw" output has been introduced.	RelNotes/2.50.0.adoc	mirror 태그 v2.50.0 의 taggerdate
2.51.0	2025-08-17	Userdiff patterns for the R language have been added.	RelNotes/2.51.0.adoc	mirror 태그 v2.51.0 의 taggerdate
2.52.0	2025-11-17	The "list" subcommand of "git refs" acts as a front-end for "git for-each-ref".	RelNotes/2.52.0.adoc	mirror 태그 v2.52.0 의 taggerdate
2.53.0	2026-02-01	"git maintenance" command learned "is-needed" subcommand to tell if it is necessary to perform various maintenance tasks.	RelNotes/2.53.0.adoc	mirror 태그 v2.53.0 의 taggerdate
2.54.0	2026-04-19	"git add -p" and friends note what the current status of the hunk being shown is.	RelNotes/2.54.0.adoc	mirror 태그 v2.54.0 의 taggerdate
2.55.0	2026-06-29	Hook scripts defined via the configuration system can now be configured to run in parallel.	RelNotes/2.55.0.adoc	mirror 태그 v2.55.0 의 taggerdate
