# 연표의 원본 — 사람이 적는 곳. tools/make_data.py 가 when 을 날짜로 풀어 data/timeline.tsv 를 만든다.
# when: YYYY-MM-DD · YYYY-MM · YYYY, 또는 release:X.Y.Z(그 태그의 날짜를 releases.tsv 에서 가져온다 — 날짜를 두 번 적지 않으려고).
# source 는 가장 강한 출처 하나, verified-how 는 다음 사람이 되짚는 법. 2025년 이후 행은 verified-how 에 "2026-09 기준".
when	event	source	verified-how
release:2.29.0	2.29.0 — 프로토콜 v2 가 다시 기본이 되다(2.27 에서 거친 곳이 남아 기본에서 내렸었다)	Documentation/RelNotes/2.29.0.adoc · 2.27.0.adoc	"has become the default again" · 2.27 의 "it has been demoted from the default"
release:2.32.0	2.32.0 — 여러 팩에 걸친 역색인(reverse index, .rev)	Documentation/RelNotes/2.32.0.adoc	"An on-disk reverse-index … is introduced"
release:2.34.0	2.34.0 — ort 가 recursive 대신 기본 머지 전략이 되다	Documentation/RelNotes/2.34.0.adoc	"The `ort` strategy is used instead of `recursive` as the default merge strategy"
release:2.34.0	2.34.0 — GnuPG 말고 ssh 키로도 객체와 push 인증서에 서명할 수 있게 되다	Documentation/RelNotes/2.34.0.adoc	"ssh public crypto can be used for object and push-cert signing"
release:2.37.0	2.37.0 — 도달할 수 없는 객체를 묶는 크러프트 팩(cruft pack)	Documentation/RelNotes/2.37.0.adoc	"A mechanism to pack unreachable objects into a "cruft pack" … has been introduced"
release:2.41.0	2.41.0 — gc 가 기본으로 크러프트 팩을 쓰다	Documentation/RelNotes/2.41.0.adoc	docs/relnotes-2.41.0.txt 의 cruft 항목(intro 목록)
release:2.45.0	2.45.0 — reftable 이 참조 백엔드로 들어오다(git init --ref-format=reftable)	Documentation/RelNotes/2.45.0.adoc	"Integrate the reftable code into the refs framework as a backend"
release:2.46.0	2.46.0 — files 백엔드 저장소를 reftable 로 옮기는 명령이 들어오다(v2.55 문서의 이름은 git refs migrate)	Documentation/RelNotes/2.46.0.adoc · Documentation/git-refs.adoc (v2.55.0)	"A new command has been added to migrate a repository … to use the reftable backend" · docs/git-refs.txt 의 migrate 절
release:2.49.0	2.49.0 — git backfill(부분 복제에서 blob 을 한꺼번에 받기)	Documentation/RelNotes/2.49.0.adoc	""git backfill" is introduced"
release:2.49.0	2.49.0 — Rust 와의 외부 언어 인터페이스가 들어오다	Documentation/RelNotes/2.49.0.adoc · Documentation/BreakingChanges.adoc	"Foreign language interface for Rust into our code base has been added" · BreakingChanges 의 "started to adopt Rust in Git 2.49"
release:2.52.0	2.52.0 — git last-modified·git repo 명령	Documentation/RelNotes/2.52.0.adoc	"A new command "git last-modified" has been added" · "A new subcommand "git repo""
release:2.55.0	2.55.0 — 설정으로 정한 훅을 병렬로 돌릴 수 있게 되다 · 2.55.0 까지 커밋 81,348개, 기여자 2,335명(2026-09 기준 최신 정식판)	Documentation/RelNotes/2.55.0.adoc · 태그 v2.55.0	2026-09 기준: mirror(2026-09-18 복제)의 최신 x.y.0 태그 · git rev-list --count v2.55.0 · git shortlog -sn v2.55.0 | wc -l
2026-09-16	v2.56.0-rc1 태그(2026-09 기준 다음 판 준비 중)	git 저장소 태그 v2.56.0-rc1	2026-09 기준: mirror 태그 날짜
2026-06	2026-09 기준 Git 3.0 의 계획 — 새 저장소의 기본 해시 SHA-256, 기본 참조 형식 reftable, 기본 브랜치 main, Rust 필수. 출시일은 정해지지 않았다	Documentation/BreakingChanges.adoc (v2.55.0)	2026-09 기준: docs/BreakingChanges.txt 의 "Git 3.0" 절 — "There is no planned release date for this breaking version yet"
2008-04-10	GitHub 가 정식으로 문을 열다("GitHub is officially live")	GitHub 블로그 "We launched", Chris Wanstrath, 2008-04-10	github.blog 원문 curl 확인
2017-02-23	CWI 와 Google 이 첫 SHA-1 충돌(SHAttered)을 발표하다 — SHA-1 계산 약 9.2×10¹⁸ 번	Google Security Blog, "Announcing the first SHA1 collision", 2017-02-23	원문 curl 후 날짜·계산 수 문장 확인
2017-05-24	Microsoft 가 Windows 코드(약 350만 파일, 약 300GB, 엔지니어 약 4,000명)를 Git/GVFS 로 옮겼다고 밝히다	Brian Harry, "The largest Git repo on the planet", devblogs.microsoft.com, 2017-05-24	원문 curl 후 수치 문장 확인
2018-06-04	Microsoft 가 GitHub 를 75억 달러에 인수한다고 발표하다	news.microsoft.com, "Microsoft to acquire GitHub for $7.5 billion", 2018-06-04	원문 curl 확인
2018-10-26	Microsoft 가 GitHub 인수를 마치다	blogs.microsoft.com, "Microsoft completes GitHub acquisition", 2018-10-26	원문 curl 확인
2020-10-01	GitHub 에서 새 저장소의 기본 브랜치가 main 이 되다(기존 저장소는 그대로)	GitHub Changelog 2020-10-01	원문 curl 후 "Existing repositories are not impacted" 확인
release:2.30.3	2.30.3 등 — CVE-2022-24765: 다른 사용자 소유 저장소를 믿지 않게 되다(safe.directory 의 시작)	Documentation/RelNotes/2.30.3.adoc	data/cves.tsv
release:2.13.7	2.13.7 등 — CVE-2018-11235: 서브모듈 이름에 "../" 를 넣는 공격	Documentation/RelNotes/2.13.7.adoc	data/cves.tsv
release:2.43.7	2.43.7 등 — CVE-2025-48384 를 비롯한 7건(설정의 끝 CR·bundle URI·gitk·Git GUI)	Documentation/RelNotes/2.43.7.adoc	2026-09 기준: data/cves.tsv
