# 명령 — v2.55.0 의 command-list.txt 전부. name-line 은
# 그 명령 문서의 NAME 줄 원문, summary-ko 는
# data/commands_ko.tsv.
command	category	kind	name-line	summary-ko
git-cherry	plumbinginterrogators	plumbing	Find commits yet to be applied to upstream	상류에 아직 적용되지 않은 커밋을 찾는다
git-cherry-pick	mainporcelain	porcelain	Apply the changes introduced by some existing commits	기존 커밋들이 들여온 변경을 적용한다
git-citool	mainporcelain	porcelain	Graphical alternative to git-commit	git-commit 의 그래픽 대안
git-clean	mainporcelain	porcelain	Remove untracked files from the working tree	추적되지 않는 파일을 작업 트리에서 지운다
git-clone	mainporcelain	porcelain	Clone a repository into a new directory	저장소를 새 디렉터리로 복제한다
git-column	purehelpers	plumbing	Display data in columns	데이터를 여러 단으로 보인다
git-commit	mainporcelain	porcelain	Record changes to the repository	변경을 저장소에 기록한다
git-commit-graph	plumbingmanipulators	plumbing	Write and verify Git commit-graph files	커밋 그래프 파일을 쓰고 검증한다
git-commit-tree	plumbingmanipulators	plumbing	Create a new commit object	새 커밋 객체를 만든다
git-config	ancillarymanipulators	ancillary	Get and set repository or global options	저장소·전역 설정을 읽고 쓴다
git-count-objects	ancillaryinterrogators	ancillary	Count unpacked number of objects and their disk consumption	풀린 객체 수와 디스크 사용량을 센다
git-credential	purehelpers	plumbing	Retrieve and store user credentials	사용자 자격 증명을 꺼내고 저장한다
git-credential-cache	purehelpers	plumbing	Helper to temporarily store passwords in memory	비밀번호를 메모리에 잠시 보관하는 도우미
git-credential-store	purehelpers	plumbing	Helper to store credentials on disk	자격 증명을 디스크에 저장하는 도우미
git-cvsexportcommit	foreignscminterface	foreign	Export a single commit to a CVS checkout	커밋 하나를 CVS 작업 사본으로 내보낸다
git-cvsimport	foreignscminterface	foreign	Salvage your data out of another SCM people love to hate	다른 SCM(CVS)에서 데이터를 건져 온다
git-cvsserver	foreignscminterface	foreign	A CVS server emulator for Git	Git 용 CVS 서버 흉내
git-daemon	synchingrepositories	plumbing	A really simple server for Git repositories	Git 저장소를 위한 아주 간단한 서버
git-describe	mainporcelain	porcelain	Give an object a human readable name based on an available ref	가까운 ref 를 바탕으로 객체에 사람이 읽는 이름을 붙인다
git-diagnose	ancillaryinterrogators	ancillary	Generate a zip archive of diagnostic information	진단 정보를 zip 아카이브로 만든다
git-diff	mainporcelain	porcelain	Show changes between commits, commit and working tree, etc	커밋 사이, 커밋과 작업 트리 사이 등의 변경을 보인다
git-diff-files	plumbinginterrogators	plumbing	Compares files in the working tree and the index	작업 트리와 인덱스의 파일을 비교한다
git-diff-index	plumbinginterrogators	plumbing	Compare a tree to the working tree or index	트리를 작업 트리나 인덱스와 비교한다
git-diff-pairs	plumbinginterrogators	plumbing	Compare the content and mode of provided blob pairs	주어진 blob 쌍의 내용과 모드를 비교한다
git-diff-tree	plumbinginterrogators	plumbing	Compares the content and mode of blobs found via two tree objects	두 트리 객체에서 찾은 blob 의 내용과 모드를 비교한다
git-difftool	ancillaryinterrogators	ancillary	Show changes using common diff tools	흔한 diff 도구로 변경을 보인다
git-fast-export	ancillarymanipulators	ancillary	Git data exporter	Git 데이터를 내보낸다
git-fast-import	ancillarymanipulators	ancillary	Backend for fast Git data importers	빠른 데이터 가져오기 도구들의 뒷단
git-fetch	mainporcelain	porcelain	Download objects and refs from another repository	다른 저장소에서 객체와 ref 를 받아 온다
git-fetch-pack	synchingrepositories	plumbing	Receive missing objects from another repository	다른 저장소에서 빠진 객체를 받는다
git-filter-branch	ancillarymanipulators	ancillary	Rewrite branches	브랜치를 다시 쓴다
git-fmt-merge-msg	purehelpers	plumbing	Produce a merge commit message	머지 커밋 메시지를 만든다
git-for-each-ref	plumbinginterrogators	plumbing	Output information on each ref	ref 마다 정보를 출력한다
git-for-each-repo	plumbinginterrogators	plumbing	Run a Git command on a list of repositories	저장소 목록의 각 저장소에서 Git 명령을 돌린다
git-format-patch	mainporcelain	porcelain	Prepare patches for e-mail submission	메일로 보낼 패치를 만든다
git-format-rev	plumbinginterrogators	plumbing	EXPERIMENTAL: Pretty format revisions on demand	(실험) 요청에 따라 리비전을 예쁘게 찍는다
git-fsck	ancillaryinterrogators	ancillary	Verifies the connectivity and validity of the objects in the database	객체 데이터베이스의 연결성과 유효성을 검사한다
git-gc	mainporcelain	porcelain	Cleanup unnecessary files and optimize the local repository	불필요한 파일을 치우고 로컬 저장소를 최적화한다
git-get-tar-commit-id	plumbinginterrogators	plumbing	Extract commit ID from an archive created using git-archive	git-archive 로 만든 아카이브에서 커밋 ID 를 꺼낸다
git-grep	mainporcelain	porcelain	Print lines matching a pattern	패턴에 맞는 줄을 찍는다
git-gui	mainporcelain	porcelain	A portable graphical interface to Git	Git 의 이식 가능한 그래픽 인터페이스
git-hash-object	plumbingmanipulators	plumbing	Compute object ID and optionally create an object from a file	파일의 객체 ID 를 계산하고, 원하면 객체로 만든다
git-help	ancillaryinterrogators	ancillary	Display help information about Git	Git 의 도움말을 보인다
git-history	mainporcelain	porcelain	EXPERIMENTAL: Rewrite history	(실험) 역사를 다시 쓴다
git-hook	purehelpers	plumbing	Run Git hooks	Git 훅을 돌린다
git-http-backend	synchingrepositories	plumbing	Server side implementation of Git over HTTP	HTTP 위의 Git 서버 쪽 구현
git-http-fetch	synchelpers	plumbing	Download from a remote Git repository via HTTP	HTTP 로 원격 Git 저장소에서 받아 온다
git-http-push	synchelpers	plumbing	Push objects over HTTP/DAV to another repository	HTTP/DAV 로 다른 저장소에 객체를 보낸다
git-imap-send	foreignscminterface	foreign	Send a collection of patches from stdin to an IMAP folder	표준 입력의 패치 묶음을 IMAP 폴더로 보낸다
git-index-pack	plumbingmanipulators	plumbing	Build pack index file for an existing packed archive	있는 팩 파일의 색인 파일을 만든다
git-init	mainporcelain	porcelain	Create an empty Git repository or reinitialize an existing one	빈 Git 저장소를 만들거나 기존 저장소를 다시 초기화한다
git-instaweb	ancillaryinterrogators	ancillary	Instantly browse your working repository in gitweb	작업 중인 저장소를 gitweb 으로 곧바로 둘러본다
git-interpret-trailers	purehelpers	plumbing	Add or parse structured information in commit messages	커밋 메시지의 구조화된 정보(트레일러)를 더하거나 읽는다
git-last-modified	plumbinginterrogators	plumbing	EXPERIMENTAL: Show when files were last modified	(실험) 파일이 마지막으로 바뀐 때를 보인다
git-log	mainporcelain	porcelain	Show commit logs	커밋 기록을 보인다
git-ls-files	plumbinginterrogators	plumbing	Show information about files in the index and the working tree	인덱스와 작업 트리의 파일 정보를 보인다
git-ls-remote	plumbinginterrogators	plumbing	List references in a remote repository	원격 저장소의 ref 를 나열한다
git-ls-tree	plumbinginterrogators	plumbing	List the contents of a tree object	트리 객체의 내용을 나열한다
git-mailinfo	purehelpers	plumbing	Extracts patch and authorship from a single e-mail message	메일 한 통에서 패치와 작성자 정보를 뽑는다
git-mailsplit	purehelpers	plumbing	Simple UNIX mbox splitter program	간단한 유닉스 mbox 쪼개기 프로그램
git-maintenance	mainporcelain	porcelain	Run tasks to optimize Git repository data	저장소 데이터를 최적화하는 작업을 돌린다
git-merge	mainporcelain	porcelain	Join two or more development histories together	둘 이상의 개발 역사를 합친다
git-merge-base	plumbinginterrogators	plumbing	Find as good common ancestors as possible for a merge	머지에 쓸 가장 좋은 공통 조상을 찾는다
git-merge-file	plumbingmanipulators	plumbing	Run a three-way file merge	파일 하나의 3-way 머지를 한다
git-merge-index	plumbingmanipulators	plumbing	Run a merge for files needing merging	머지가 필요한 파일에 머지를 돌린다
git-merge-one-file	purehelpers	plumbing	The standard helper program to use with git-merge-index	git-merge-index 와 함께 쓰는 표준 도우미
git-merge-tree	ancillaryinterrogators	ancillary	Perform merge without touching index or working tree	인덱스나 작업 트리를 건드리지 않고 머지한다
git-mergetool	ancillarymanipulators	ancillary	Run merge conflict resolution tools to resolve merge conflicts	머지 충돌을 푸는 도구를 돌린다
git-mktag	plumbingmanipulators	plumbing	Creates a tag object with extra validation	검증을 더해 태그 객체를 만든다
git-mktree	plumbingmanipulators	plumbing	Build a tree-object from ls-tree formatted text	ls-tree 꼴의 글에서 트리 객체를 만든다
git-multi-pack-index	plumbingmanipulators	plumbing	Write and verify multi-pack-indexes	다중 팩 색인을 쓰고 검증한다
git-mv	mainporcelain	porcelain	Move or rename a file, a directory, or a symlink	파일·디렉터리·심볼릭 링크를 옮기거나 이름을 바꾼다
git-name-rev	plumbinginterrogators	plumbing	Find symbolic names for given revs	주어진 리비전의 기호 이름을 찾는다
git-notes	mainporcelain	porcelain	Add or inspect object notes	객체에 노트를 달거나 살펴본다
git-p4	foreignscminterface	foreign	Import from and submit to Perforce repositories	Perforce 저장소에서 가져오고 제출한다
git-pack-objects	plumbingmanipulators	plumbing	Create a packed archive of objects	객체들의 팩 아카이브를 만든다
git-pack-redundant	plumbinginterrogators	plumbing	Find redundant pack files	남아도는 팩 파일을 찾는다
git-pack-refs	ancillarymanipulators	ancillary	Pack heads and tags for efficient repository access	빠른 접근을 위해 head 와 태그를 한 파일에 묶는다
git-patch-id	purehelpers	plumbing	Compute unique IDs for patches	패치의 고유 ID 를 계산한다
git-prune	ancillarymanipulators	ancillary	Prune all unreachable objects from the object database	닿지 않는 객체를 객체 데이터베이스에서 모두 지운다
git-prune-packed	plumbingmanipulators	plumbing	Remove extra objects that are already in pack files	이미 팩에 든 여분의 객체를 지운다
git-pull	mainporcelain	porcelain	Fetch from and integrate with another repository or a local branch	다른 저장소나 로컬 브랜치에서 받아 와 합친다
git-push	mainporcelain	porcelain	Update remote refs along with associated objects	원격 ref 를 딸린 객체와 함께 갱신한다
git-quiltimport	foreignscminterface	foreign	Applies a quilt patchset onto the current branch	quilt 패치 묶음을 현재 브랜치에 적용한다
git-range-diff	mainporcelain	porcelain	Compare two commit ranges (e.g. two versions of a branch)	두 커밋 범위를 비교한다(한 브랜치의 두 판 같은)
git-read-tree	plumbingmanipulators	plumbing	Reads tree information into the index	트리 정보를 인덱스로 읽어 들인다
git-rebase	mainporcelain	porcelain	Reapply commits on top of another base tip	커밋들을 다른 기준 끝 위에 다시 적용한다
git-receive-pack	synchelpers	plumbing	Receive what is pushed into the repository	저장소로 push 된 것을 받는다
git-reflog	ancillarymanipulators	ancillary	Manage reflog information	reflog 정보를 관리한다
git-refs	ancillarymanipulators	ancillary	Low-level access to refs	ref 에 대한 저수준 접근
git-remote	ancillarymanipulators	ancillary	Manage set of tracked repositories	추적하는 저장소들의 목록을 관리한다
git-repack	ancillarymanipulators	ancillary	Pack unpacked objects in a repository	풀린 객체를 팩으로 묶는다
git-replace	ancillarymanipulators	ancillary	Create, list, delete refs to replace objects	객체를 바꿔치는 ref 를 만들고·나열하고·지운다
git-replay	plumbingmanipulators	plumbing	EXPERIMENTAL: Replay commits on a new base, works with bare repos too	(실험) 커밋을 새 기준 위에 다시 재생한다 — bare 저장소에서도
git-repo	plumbinginterrogators	plumbing	Retrieve information about the repository	저장소에 관한 정보를 꺼낸다
git-request-pull	foreignscminterface	foreign	Generates a summary of pending changes	대기 중인 변경의 요약을 만든다
git-rerere	ancillaryinterrogators	ancillary	Reuse recorded resolution of conflicted merges	충돌한 머지의 기록된 해결을 다시 쓴다
git-reset	mainporcelain	porcelain	Set `HEAD` or the index to a known state	HEAD 나 인덱스를 알려진 상태로 둔다
git-restore	mainporcelain	porcelain	Restore working tree files	작업 트리 파일을 되돌린다
git-rev-list	plumbinginterrogators	plumbing	Lists commit objects in reverse chronological order	커밋 객체를 시간 역순으로 나열한다
git-rev-parse	plumbinginterrogators	plumbing	Pick out and massage parameters	매개변수를 골라내고 다듬는다
git-revert	mainporcelain	porcelain	Revert some existing commits	기존 커밋들을 되돌린다
git-rm	mainporcelain	porcelain	Remove files from the working tree and from the index	파일을 작업 트리와 인덱스에서 지운다
git-send-email	foreignscminterface	foreign	Send a collection of patches as emails	패치 묶음을 메일로 보낸다
git-send-pack	synchingrepositories	plumbing	Push objects over Git protocol to another repository	Git 프로토콜로 다른 저장소에 객체를 보낸다
git-sh-i18n	purehelpers	plumbing	Git's i18n setup code for shell scripts	셸 스크립트용 Git 국제화 설정 코드
git-sh-setup	purehelpers	plumbing	Common Git shell script setup code	셸 스크립트용 Git 공통 설정 코드
git-shell	synchelpers	plumbing	Restricted login shell for Git-only SSH access	Git 만 쓰는 SSH 접속용 제한 로그인 셸
git-shortlog	mainporcelain	porcelain	Summarize `git log` output	git log 출력을 요약한다
git-show	mainporcelain	porcelain	Show various types of objects	여러 종류의 객체를 보인다
git-show-branch	ancillaryinterrogators	ancillary	Show branches and their commits	브랜치들과 그 커밋을 보인다
git-show-index	plumbinginterrogators	plumbing	Show packed archive index	팩 색인을 보인다
git-show-ref	plumbinginterrogators	plumbing	List references in a local repository	로컬 저장소의 ref 를 나열한다
git-sparse-checkout	mainporcelain	porcelain	Reduce your working tree to a subset of tracked files	작업 트리를 추적 파일의 일부로 줄인다
git-stage	complete	complete	Add file contents to the staging area	파일 내용을 스테이징 영역에 올린다(add 의 다른 이름)
git-stash	mainporcelain	porcelain	Stash the changes in a dirty working directory away	더러운 작업 디렉터리의 변경을 치워 둔다
git-status	mainporcelain	porcelain	Show the working tree status	작업 트리의 상태를 보인다
git-stripspace	purehelpers	plumbing	Remove unnecessary whitespace	불필요한 공백을 없앤다
git-submodule	mainporcelain	porcelain	Initialize, update or inspect submodules	서브모듈을 초기화·갱신·검사한다
git-svn	foreignscminterface	foreign	Bidirectional operation between a Subversion repository and Git	Subversion 저장소와 Git 사이의 양방향 작업
git-switch	mainporcelain	porcelain	Switch branches	브랜치를 바꾼다
git-symbolic-ref	plumbingmanipulators	plumbing	Read, modify and delete symbolic refs	기호 ref 를 읽고·고치고·지운다
git-tag	mainporcelain	porcelain	Create, list, delete or verify tags	태그를 만들고·나열하고·지우고·검증한다
git-unpack-file	plumbinginterrogators	plumbing	Creates a temporary file with a blob's contents	blob 의 내용으로 임시 파일을 만든다
git-unpack-objects	plumbingmanipulators	plumbing	Unpack objects from a packed archive	팩 아카이브의 객체를 풀어 놓는다
git-update-index	plumbingmanipulators	plumbing	Register file contents in the working tree to the index	작업 트리의 파일 내용을 인덱스에 등록한다
git-update-ref	plumbingmanipulators	plumbing	Update the object name stored in a ref safely	ref 에 적힌 객체 이름을 안전하게 바꾼다
git-update-server-info	synchingrepositories	plumbing	Update auxiliary info file to help dumb servers	멍청한(dumb) 서버를 돕는 보조 정보 파일을 갱신한다
git-upload-archive	synchelpers	plumbing	Send archive back to git-archive	아카이브를 git-archive 에 돌려보낸다
git-upload-pack	synchelpers	plumbing	Send objects packed back to git-fetch-pack	팩으로 묶은 객체를 git-fetch-pack 에 돌려보낸다
git-url-parse	purehelpers	plumbing	Parse and extract git URL components	git URL 을 해석해 부분을 꺼낸다
git-var	plumbinginterrogators	plumbing	Show a Git logical variable	Git 의 논리 변수를 보인다
git-verify-commit	ancillaryinterrogators	ancillary	Check the GPG signature of commits	커밋의 GPG 서명을 확인한다
git-verify-pack	plumbinginterrogators	plumbing	Validate packed Git archive files	팩 파일을 검증한다
git-verify-tag	ancillaryinterrogators	ancillary	Check the GPG signature of tags	태그의 GPG 서명을 확인한다
git-version	ancillaryinterrogators	ancillary	Display version information about Git	Git 의 판 정보를 보인다
git-whatchanged	ancillaryinterrogators	ancillary	Show logs with differences each commit introduces	커밋마다 들여온 변경과 함께 기록을 보인다
git-worktree	mainporcelain	porcelain	Manage multiple working trees	여러 작업 트리를 관리한다
git-write-tree	plumbingmanipulators	plumbing	Create a tree object from the current index	현재 인덱스로 트리 객체를 만든다
gitattributes	userinterfaces	guide	Defining attributes per path	경로마다 속성을 정한다
gitcli	userinterfaces	guide	Git command-line interface and conventions	Git 명령줄 인터페이스와 관례
gitcore-tutorial	guide	guide	A Git core tutorial for developers	개발자를 위한 Git 코어 입문
gitcredentials	guide	guide	Providing usernames and passwords to Git	Git 에 사용자 이름과 비밀번호를 주는 법
gitcvs-migration	guide	guide	Git for CVS users	CVS 사용자를 위한 Git
gitdiffcore	guide	guide	Tweaking diff output	diff 출력 다듬기
giteveryday	guide	guide	A useful minimum set of commands for Everyday Git	날마다 쓰는 Git 의 최소 명령 모음
gitfaq	guide	guide	Frequently asked questions about using Git	Git 사용에 관한 자주 묻는 질문
gitformat-bundle	developerinterfaces	guide	The bundle file format	bundle 파일 형식
gitformat-chunk	developerinterfaces	guide	Chunk-based file formats	청크 기반 파일 형식
gitformat-commit-graph	developerinterfaces	guide	Git commit-graph format	Git 커밋 그래프 형식
gitformat-index	developerinterfaces	guide	Git index format	Git 인덱스 형식
gitformat-pack	developerinterfaces	guide	Git pack format	Git 팩 형식
gitformat-signature	developerinterfaces	guide	Git cryptographic signature formats	Git 암호 서명 형식
gitglossary	guide	guide	A Git Glossary	Git 용어집
githooks	userinterfaces	guide	Hooks used by Git	Git 이 쓰는 훅
gitignore	userinterfaces	guide	Specifies intentionally untracked files to ignore	일부러 추적하지 않을 파일을 정한다
gitk	mainporcelain	porcelain	The Git repository browser	Git 저장소 둘러보기 도구
gitmailmap	userinterfaces	guide	Map author/committer names and/or E-Mail addresses	작성자·커미터의 이름과 메일을 대응시킨다
gitmodules	userinterfaces	guide	Defining submodule properties	서브모듈의 속성을 정한다
gitnamespaces	guide	guide	Git namespaces	Git 이름공간
gitprotocol-capabilities	developerinterfaces	guide	Protocol v0 and v1 capabilities	프로토콜 v0·v1 의 능력(capability)
gitprotocol-common	developerinterfaces	guide	Things common to various protocols	여러 프로토콜에 공통인 것들
gitprotocol-http	developerinterfaces	guide	Git HTTP-based protocols	HTTP 기반 Git 프로토콜
gitprotocol-pack	developerinterfaces	guide	How packs are transferred over-the-wire	팩이 전선을 타고 전송되는 방식
gitprotocol-v2	developerinterfaces	guide	Git Wire Protocol, Version 2	Git 전선 프로토콜 버전 2
gitremote-helpers	guide	guide	Helper programs to interact with remote repositories	원격 저장소와 대화하는 도우미 프로그램
gitrepository-layout	userinterfaces	guide	Git Repository Layout	Git 저장소의 배치
gitrevisions	userinterfaces	guide	Specifying revisions and ranges for Git	Git 에서 리비전과 범위를 가리키는 법
gitsubmodules	guide	guide	Mounting one repository inside another	한 저장소를 다른 저장소 안에 올리기
gittutorial	guide	guide	A tutorial introduction to Git	Git 입문
gittutorial-2	guide	guide	A tutorial introduction to Git: part two	Git 입문 2부
gitweb	ancillaryinterrogators	ancillary	Git web interface (web frontend to Git repositories)	Git 웹 인터페이스(Git 저장소의 웹 앞단)
gitworkflows	guide	guide	An overview of recommended workflows with Git	권장하는 Git 작업 흐름 개관
scalar	mainporcelain	porcelain	A tool for managing large Git repositories	큰 Git 저장소를 관리하는 도구
