# 용어집 — 한 줄에 하나: 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
# 세 번째 칸의 id 가 실재하지 않으면 덱이 만들어지지 않는다(gen_glossary.py).
# PLAN.md §5 10단계에서 250개 이상으로 채운다.
libandroid-shmem | System V 공유 메모리를 ashmem 위에 흉내 내는 라이브러리 | p8-c7
libandroid-glob | bionic 에 없는 glob.h 를 메우는 라이브러리 | p8-c7
ashmem | 안드로이드의 공유 메모리 장치 | p8-c7
bionic | 안드로이드의 C 라이브러리 | p3-bionic
glibc | GNU C 라이브러리 — 보통 리눅스 배포판의 libc | p3-c4
libc | 프로그램이 커널을 부르는 표준 함수 묶음 | p3-c4
linker64 | 안드로이드의 64비트 동적 링커 /system/bin/linker64 | p3-interp
ld-linux-aarch64.so.1 | glibc 의 동적 링커 | p3-interp-glibc
동적 링커 | 실행 파일을 싣고 공유 라이브러리를 붙이는 프로그램 | p3-interp
ELF | 리눅스·안드로이드의 실행 파일 형식 | p3-interp
PT_INTERP | ELF 가 자기를 실을 링커를 적는 칸 | p5-elf-phdr
DT_NEEDED | ELF 가 필요로 하는 공유 라이브러리 이름 | p3-needed
DT_RUNPATH | 공유 라이브러리를 먼저 찾을 디렉터리 | p3-runpath
DT_RPATH | RUNPATH 의 옛 형태, 안드로이드는 쓰지 않는다 | p5-c8
PT_LOAD | 메모리에 싣는 ELF 구간 | p5-elf-strtab
프로그램 머리 | ELF 의 구간 목록 — 링커가 보는 것 | p5-elf-phdr
elf.py | 이 덱의 작은 readelf | p5-c9
CANNOT LINK EXECUTABLE | bionic 링커가 라이브러리를 못 찾을 때의 말 | p15-cannot-link
unused DT entry | 안드로이드 링커가 모르는 ELF 항목 경고 | p15-unused-dt
FHS | 리눅스 파일시스템 표준 — /bin·/etc·/usr 의 약속 | p3-not-fhs
셔뱅 | 스크립트 첫 줄에 해석기 경로를 적는 줄(샵과 느낌표로 시작) | p5-c3
termux-exec | execve 를 가로채 셔뱅 경로를 고치는 라이브러리 | p5-c4
LD_PRELOAD | 프로그램보다 먼저 실을 라이브러리를 지정하는 변수 | p5-login-preload
execve | 새 프로그램으로 자신을 바꾸는 시스템 호출 | p5-intercept
termux-fix-shebang | 스크립트의 첫 줄을 $PREFIX 경로로 고치는 명령 | p5-c6
시스템 링커 실행 | linker64 에 실행 파일을 인자로 주어 싣는 방식 | p5-linker-exec
W^X | 쓸 수 있는 곳은 실행하지 말라는 원칙 | p5-c5
targetSdk | 앱이 맞춘 안드로이드 API 수준 — 동작 규칙을 정한다 | p4-c9
minSdk | 앱이 설치될 수 있는 가장 낮은 API 수준 | p2-sdk
API 수준 | 안드로이드 판마다 붙은 정수 번호 | p1-android-version
untrusted_app_27 | targetSdk 26~28 앱이 도는 SELinux 도메인 | p5-app27
SELinux | 커널의 필수 접근 제어 — root 도 따른다 | p3-selinux
SELinux 문맥 | 프로세스·파일에 붙은 SELinux 이름표 | p5-app27
seccomp | 프로세스가 부를 수 있는 시스템 호출을 거르는 커널 기능 | p3-seccomp
seccomp-BPF | 작은 필터 프로그램으로 호출을 거르는 seccomp 방식 | p9-seccomp-stmt
BPF | 커널 안에서 도는 작은 필터 언어 | p9-c2
SECCOMP_RET_TRACE | 필터가 추적자에게 알리라는 답 | p9-seccomp-stmt
SECCOMP_RET_ALLOW | 필터가 그대로 통과시키라는 답 | p9-seccomp-stmt
uid | 사용자 번호 — 안드로이드에서는 앱마다 하나 | p3-c2
u0_a123 | 사용자 0 의 앱 번호 123 — 이 기기 Termux 의 사용자 이름 | p3-u0a
앱 샌드박스 | 앱마다 uid·디렉터리를 나눠 서로 못 보게 하는 구조 | p3-sandbox
AID | 안드로이드가 미리 정한 uid·gid 번호표 | p3-aid
보조 그룹 | 프로세스가 함께 속한 그룹들 — 권한이 여기 붙는다 | p3-id
inet 그룹 | INTERNET 권한이 주는 그룹 | p3-inet
앱 데이터 디렉터리 | /data/data/<패키지> — 앱 전용 저장소 | p3-appdata
Zygote | 모든 앱 프로세스를 fork 해 주는 부모 | p3-zygote
권한 | 앱이 할 수 있는 일의 목록 — 설치·실행 중·특별 | p3-perm-kinds
런타임 권한 | 실행 중에 사용자에게 묻는 권한 | p3-perm-kinds
dangerous 권한 | 사용자가 앱마다 허락해야 하는 보호 수준 | p14-manifest
매니페스트 | 앱의 이름·권한·구성 요소를 적은 AndroidManifest.xml | p3-manifest-perms
스코프드 스토리지 | 앱마다 공유 저장소의 볼 수 있는 범위를 좁힌 규칙 | p3-c9
requestLegacyExternalStorage | 옛 저장소 방식을 잠시 유지하는 매니페스트 속성 | p3-legacy-storage
MANAGE_EXTERNAL_STORAGE | 모든 파일 접근 권한 | p3-legacy-storage
공유 저장소 | /sdcard — 앱들이 함께 쓰는 저장소 | p3-c9
noexec | 그 파일시스템의 파일은 실행할 수 없다는 마운트 옵션 | p3-storage-mount
termux-setup-storage | 공유 저장소 권한을 묻고 ~/storage 링크를 만드는 명령 | p1-c5
~/storage | 공유 저장소의 표준 디렉터리로 가는 링크 모음 | p3-storage-links
SAF | 저장소 접근 프레임워크 — 사용자가 고른 파일만 넘긴다 | p8-other-apps
PTY | 가짜 터미널 — 셸과 화면을 잇는 한 쌍의 장치 | p4-c3
/dev/ptmx | 새 PTY 를 여는 장치 파일 | p4-ptmx
create_subprocess | termux-app 의 C 함수 — PTY 를 열고 셸을 띄운다 | p4-ptmx
setsid | 새 세션을 만들어 제어 터미널을 바꾸는 호출 | p4-fork
dup2 | 파일 기술자를 다른 번호로 복제하는 호출 | p4-fork
터미널 에뮬레이터 | 제어 문자열을 해석해 화면에 그리는 부분 | p4-c2
xterm | 이 에뮬레이터가 흉내 내는 터미널 종류 | p4-xterm
Android Terminal Emulator | Termux 터미널 처리의 뿌리 프로젝트 | p2-lineage
TermuxService | 세션을 붙드는 Termux 의 포그라운드 서비스 | p4-c4
포그라운드 서비스 | 알림을 띄운 채 도는, 잘 안 죽는 서비스 | p4-foreground
웨이크락 | CPU 가 잠들지 않게 붙드는 잠금 | p4-wakelock
PARTIAL_WAKE_LOCK | 화면은 꺼져도 CPU 는 깨워 두는 웨이크락 | p4-wakelock
termux-wake-lock | 웨이크락을 잡는 명령 | p8-wakelock-battery
Doze | 움직이지 않는 폰의 배터리 절약 모드 | p8-c3
유지 보수 창 | Doze 가 잠깐 풀려 미룬 일을 하는 시간 | p8-c3
배터리 최적화 예외 | Doze 제한에서 빠지는 앱 목록 | p8-exemption
App Standby | 최근에 안 쓴 앱의 네트워크를 미루는 기능 | p8-c3
JobScheduler | 조건이 맞을 때 작업을 돌려 주는 안드로이드 기능 | p11-boot-receiver
팬텀 프로세스 | 앱이 fork 한 자식 프로세스 — Android 12 가 세고 죽인다 | p8-phantom-what
MAX_PHANTOM_PROCESSES | 팬텀 프로세스 한도, 기본 32 | p8-phantom-kill
oom adj | 저메모리 때 죽일 순서를 정하는 점수 | p8-phantom-kill
signal 9 | SIGKILL — 붙잡을 수 없는 죽음의 신호 | p8-signal9
SIGKILL | 프로세스를 즉시 끝내는 신호 9 | p8-signal9
종료 상태 137 | 128 + 9 — SIGKILL 로 죽은 자식 | p8-signal9
settings_enable_monitor_phantom_procs | 팬텀 킬러를 켜고 끄는 설정 | p8-phantom-off
device_config | 안드로이드의 원격 설정 값을 바꾸는 명령 | p8-phantom-off
개발자 옵션 | 안드로이드 설정의 숨은 메뉴 | p8-phantom-off
adb | PC 나 무선으로 안드로이드에 명령을 보내는 도구 | p8-phantom-off
hidepid=2 | 다른 사용자의 /proc 를 숨기는 마운트 옵션 | p15-ps
/proc | 커널이 보여 주는 프로세스·시스템 정보 파일시스템 | p8-pid-max
pid_max | 프로세스 번호의 상한 | p8-pid-max
ulimit | 셸이 보여 주는 자원 한도 | p8-pid-max
init | pid 1 — 부모를 잃은 프로세스를 거두는 첫 프로세스 | p8-daemon
데몬 | 터미널을 떠나 배경에서 도는 프로세스 | p8-daemon
EACCES | 권한이 없어 거부됐다는 오류 번호 | p8-ports-bionic
1024 미만 포트 | 리눅스가 특권을 요구하는 낮은 포트 번호 | p8-c4
bind | 소켓에 주소와 포트를 붙이는 호출 | p8-ports-bind
127.0.0.1 | 같은 기기 안에서만 닿는 주소 | p11-c3
8022 | Termux 의 sshd 기본 포트 | p10-c4
sshd | SSH 서버 | p10-c4
ssh-copy-id | 공개 키를 서버에 올리는 명령 | p10-ssh-keys
공개 키 인증 | 비밀번호 대신 키 쌍으로 로그인 | p10-ssh-keys
authorized_keys | 로그인을 허락할 공개 키 목록 | p10-sshd-config
sftp-server | SSH 위의 파일 전송 서버 | p10-sshd-config
NAT | 여러 기기가 바깥 주소 하나를 나눠 쓰는 방식 | p11-c4
포트 포워딩 | 공유기가 바깥 포트를 안쪽 기기로 넘겨 주는 설정 | p11-c4
Tor 어니언 서비스 | Tor 망 안에서만 보이는 서비스 주소 | p11-tor
Ngrok | 바깥에서 들어오는 터널을 빌려주는 서비스 | p11-c4
Tmate | 터미널을 남과 나눠 쓰는 도구 | p11-c4
termux-services | runit 으로 서비스를 켜고 끄는 Termux 패키지 | p11-c1
runit | 작은 서비스 관리 도구 모음 | p11-c1
sv-enable | 서비스를 켜 두는 명령 | p11-c1
svlogger | termux-services 의 로그 스크립트 | p11-own-service
crond | 정해진 때에 명령을 돌리는 데몬 | p11-c5
termux-job-scheduler | 안드로이드 JobScheduler 에 작업을 맡기는 명령 | p11-c5
BOOT_COMPLETED | 부팅이 끝났다는 안드로이드 방송 | p11-boot-receiver
http.server | 파이썬 표준 라이브러리의 간이 웹 서버 | p11-c3
Termux:API | 안드로이드 기능을 명령줄에 내주는 앱 | p7
termux-api(패키지) | termux-* 명령 스크립트와 libexec/termux-api 를 담은 패키지 | p7-script
libexec/termux-api | 명령 스크립트가 부르는 작은 C 프로그램 | p7-socket
TermuxApiReceiver | 메서드 이름으로 요청을 가르는 앱 쪽 수신기 | p7-receiver
am broadcast | 명령줄에서 안드로이드 방송을 보내는 방법 | p7-socket
유닉스 소켓 | 같은 기기 안 프로세스끼리의 통신 통로 | p7-socket
SO_PEERCRED | 소켓 상대의 uid 를 알아내는 옵션 | p7-socket
JSON | API 명령이 돌려주는 글자 형식 | p7-battery-fields
termux-battery-status | 배터리 상태를 JSON 으로 내는 명령 | p7-script
개인정보 명령 | 문자·위치·카메라 등을 읽는 termux-* 16개 | p7-sensitive
거부 목록 | tools/tmx.sh 가 실행 전에 막는 명령 목록 | p7-denylist
Termux:Boot | 부팅 때 스크립트를 돌리는 플러그인 | p7-c4
~/.termux/boot | Termux:Boot 가 돌릴 스크립트 자리 | p7-plugin-dirs
Termux:Widget | 홈 화면 위젯·바로가기로 스크립트를 부르는 플러그인 | p7-c4
~/.shortcuts | Termux:Widget 이 보여 줄 스크립트 자리 | p7-plugin-dirs
Termux:Tasker | 자동화 앱에서 Termux 명령을 부르는 플러그인 | p7-tasker
~/.termux/tasker | Termux:Tasker 가 부를 수 있는 스크립트 자리 | p7-tasker
Termux:Float | 터미널을 떠 있는 창으로 여는 플러그인 | p7-float-styling
Termux:Styling | 색 배합과 글꼴을 바꾸는 플러그인 | p7-float-styling
Termux:X11 | NDK 로 지은 X 서버 앱 | p7-x11
플러그인 | Termux 와 같은 uid 로 도는 부가 앱 | p7-c4
sharedUserId | 같은 키로 서명된 앱들이 uid 를 나눠 쓰게 하는 속성 | p4-c6
서명 키 불일치 | 설치처가 다른 APK 를 섞을 때의 설치 실패 원인 | p15-install
testkey_untrusted.jks | GitHub 판 APK 를 서명하는 공개 테스트 키 | p14-testkey
F-Droid | 자유 소프트웨어 앱 저장소 — Termux 를 직접 빌드·서명 | p1-c2
Google Play 판 | Android 11+ 용으로 크게 고친 별도 빌드 | p1-c2
RUN_COMMAND | 다른 앱이 Termux 에 명령을 부탁하는 인텐트와 권한 | p4-c7
allow-external-apps | 바깥 앱의 명령 실행을 허락하는 termux.properties 키 | p4-run-command
인텐트 | 안드로이드 구성 요소 사이의 메시지 | p4-c7
콘텐츠 프로바이더 | 앱이 다른 앱에 파일·데이터를 내주는 창구 | p14-manifest
termux.properties | Termux 앱의 설정 파일 | p4-c8
~/.termux | Termux 앱의 사용자 설정 디렉터리 | p4-dot-termux
enforce-char-based-input | 키보드의 예측 입력을 끄는 설정 키 | p15-keyboard
추가 키 줄 | 화면 아래의 Esc·Ctrl·화살표 버튼 줄 | p1-c6
볼륨 아래 키 | Termux 에서 Ctrl 로 쓰는 키 | p1-c6
서랍 | 화면 왼쪽에서 밀어 여는 세션 목록 | p1-c7
세션 | 터미널 하나와 그 셸 | p1-c7
failsafe 세션 | 안드로이드의 /system/bin/sh 로 뜨는 비상 셸 | p1-c7
도트파일 | .bashrc·.profile 같은 점으로 시작하는 설정 파일 | p10-c6
termux-backup | $PREFIX 를 tar 로 싸는 명령 | p8-termux-backup
termux-restore | termux-backup 의 묶음을 되돌리는 명령 | p8-termux-backup
--recursive-unlink | 풀기 전에 대상 트리를 지우는 tar 옵션 | p8-termux-backup
termux-info | 버그 보고용 환경 정보를 모아 찍는 명령 | p9-getprop
getprop | 안드로이드 시스템 속성을 읽는 명령 | p9-getprop
proot | ptrace 로 chroot·bind mount 를 흉내 내는 프로그램 | p9-c1
proot-distro | 배포판 컨테이너를 설치·로그인하는 파이썬 도구 | p9-c3
pd | proot-distro 의 짧은 이름 | p9-c3
ptrace | 한 프로세스가 다른 프로세스를 멈춰 세우고 들여다보는 호출 | p9-c1
PTRACE_TRACEME | 부모가 나를 추적하라고 선언하는 요청 | p9-traceme
TracerPid | /proc/self/status 의 칸 — 나를 추적하는 프로세스 번호 | p3-tracer
추적자 | ptrace 로 남을 멈춰 세우는 쪽 | p9-tracer-name
sysenter · sysexit | 시스템 호출에 들어갈 때와 나올 때 — proot 가 멈추는 두 자리 | p9-c2
PR_void | proot 가 진짜 호출을 없앨 때 바꿔 넣는 번호 | p9-getcwd-enter
경로 번역 | 손님의 경로를 rootfs 안의 경로로 바꾸는 일 | p9-loop
rootfs | 컨테이너의 뿌리 디렉터리 | p9-pd-container
손님(guest) | proot 안에서 도는 프로그램과 그 파일시스템 | p9-c1
호스트 | proot 바깥의 실제 파일시스템과 커널 | p9-c1
chroot | 어떤 디렉터리를 새 / 로 삼는 특권 호출 | p9-chroot
bind mount | 한 경로를 다른 자리에 붙이는 일 | p9-c1
binfmt_misc | 다른 CPU 용 실행 파일을 해석기로 넘기는 리눅스 기능 | p9-c1
QEMU user-mode | 다른 CPU 의 프로그램을 번역해 돌리는 에뮬레이터 | p9-c1
--change-id | proot 가 보여 줄 uid:gid 를 정하는 옵션 | p9-session-argv
-0(root-id) | root 처럼 보이게 하는 proot 옵션 | p9-not-root
--link2symlink | 하드 링크를 심볼릭 링크 둘로 흉내 내는 확장 | p9-c4
/.l2s | link2symlink 의 중간 파일이 쌓이는 디렉터리 | p9-l2s
--sysvipc | System V IPC 를 proot 안에서 흉내 내는 확장 | p9-pd-ext
--kill-on-exit | 명령이 끝나면 남은 손님을 모두 끝내는 옵션 | p9-pd-ext
--kernel-release | uname 이 돌려줄 커널 판을 꾸미는 옵션 | p9-kernel
-p(port_switch) | 1024 미만 포트에 2000 을 더하는 proot 확장 | p9-ports
PROOT_NO_SECCOMP | proot 의 seccomp 필터를 끄는 환경 변수 | p9-no-seccomp
sysdata | proot-distro 가 /proc 자리에 붙이는 가짜 파일들 | p9-sysdata
O_NOFOLLOW | 심볼릭 링크를 따라가지 않고 여는 플래그 | p9-sysdata-why
--shared-tmp | 컨테이너의 /tmp 를 Termux 의 /tmp 와 같게 하는 옵션 | p12-c3
OCI 이미지 | 컨테이너 이미지의 표준 형식(Docker 이미지) | p9-pd-oci
층(layer) | OCI 이미지를 이루는 파일 묶음 하나 | p9-pd-oci
manifest.json | 컨테이너의 이미지 이름·아키텍처를 적은 파일 | p9-pd-container
aid_ 사용자 | 컨테이너 /etc/passwd 에 등록된 안드로이드 사용자 | p9-pd-fixups
6.17.0-PRoot-Distro | proot-distro 가 꾸민 커널 판 이름 | p9-kernel
getcwd | 현재 디렉터리를 묻는 시스템 호출 | p9-getcwd-enter
getpid | 자기 프로세스 번호를 묻는 시스템 호출 | p9-seccomp-list
syscall_loop | 시스템 호출을 N 번 부르는 실험 프로그램 | p9-syscall-loop
fork | 프로세스를 둘로 나누는 호출 | p9-fork-cost
X 서버 | 그래픽 창을 그려 주는 서버 | p12-c2
DISPLAY | X 프로그램이 그릴 서버를 가리키는 변수 | p12-run
VNC | 원격 화면 공유 방식 | p12-c4
tigervnc | Termux 의 VNC 서버 패키지 | p12-c4
XFCE | 가벼운 데스크톱 환경 | p12-c2
PulseAudio | 소리 서버 | p12-desktops
sharedUid APK | Termux 와 같은 uid 로 도는 Termux:X11 판 | p12-slowdown
하드웨어 가속 | GPU 로 그리는 것 — 위키는 기본 미지원이라 적는다 | p12-gpu
위협 모델 | 무엇을 누구로부터 지키는지의 목록 | p14-c1
정규 경로 | ..·링크를 모두 풀어낸 실제 경로 | p14-tasker-vuln
경로 우회 | ../ 로 허락된 디렉터리를 벗어나는 공격 | p14-tasker-vuln
고정 바로가기 | 안드로이드가 보관하는 pinned shortcut | p14-widget-vuln
permRead | 선언된 적 없는 가짜 권한 — 2022년 취약점의 원인 | p14-world-readable
책임 있는 공개 | 고친 뒤 일정 기간이 지나 취약점을 알리는 관행 | p14-c3
scrub.py | 캡처의 개인정보를 바꾸고 막는 이 덱의 도구 | p14-c5
자리표시 | <ip> 처럼 값을 가린 표시 | p14-scrub-fix
tmx.sh | 이 세션에서 실제 Termux 로 가는 유일한 문 | p7-denylist
캡처 | 이 기기에서 명령을 돌려 뜬 출력 | p0-captures
고정 캡처 | 세 번 떠도 같은 캡처 | p0-captures
스냅샷 캡처 | 뜬 날짜를 도장으로 단, 흔들리는 캡처 | p0-captures
증거 등급 | a 캡처 · s 소스 · b 문서 · c 역사 · 설명용 | p0-tier
소스 배지 | 발췌한 upstream 파일의 저장소·경로·커밋·줄 | p0-src-badge
핀 커밋 | 인용이 고정해 둔 upstream 커밋 | p0-src-badge
native_facts.sh | 사용자가 네이티브 Termux 에서 돌릴 사실 수집 스크립트 | p0-device
네이티브 | proot 밖, Termux 그대로 | p0-device
fakeroot | 파일 소유자만 root 인 척하는 도구 | p9-not-root
