# 연표 — 한 줄에 사건 하나, source 칸은 비울 수 없다 (PLAN.md §0.4).
# 2025년 이후 줄은 event 끝에 "2026-09 기준" 을 붙이고 WebSearch 로 다시 확인한다.
year	month	event	paper	source
2014	12	Kingma·Ba 'Adam' arXiv 공개	kingma2014	kingma2014 v1 2014-12-22 via arXiv API
2015	08	Luong 외 곱셈 어텐션 번역 논문 arXiv 공개	luong2015	luong2015 v1 2015-08-17 via arXiv API
2015	08	Sennrich 외 BPE 서브워드 번역 논문 arXiv 공개	sennrich2015	sennrich2015 v1 2015-08-31 via arXiv API
2015	12	He 외 ResNet(잔차 연결) arXiv 공개	he2015	he2015 v1 2015-12-10 via arXiv API
2016	06	Hendrycks·Gimpel GELU 논문 arXiv 공개	hendrycks2016	hendrycks2016 v1 2016-06-27 via arXiv API
2016	07	Ba 외 층 정규화(LayerNorm) arXiv 공개	ba2016	ba2016 v1 2016-07-21 via arXiv API
2016	08	Press·Wolf 입출력 임베딩 묶기 arXiv 공개	press2016	press2016 v1 2016-08-20 via arXiv API
2016	09	Wu 외 GNMT(구글 신경망 번역) arXiv 공개	wu2016	wu2016 v1 2016-09-26 via arXiv API
2017	06	Vaswani 외 'Attention Is All You Need' arXiv 공개	vaswani2017	vaswani2017 v1 2017-06-12 via arXiv API
2017	10	Micikevicius 외 혼합 정밀도 학습 arXiv 공개	micikevicius2017	micikevicius2017 v1 2017-10-10 via arXiv API
2017	11	Loshchilov·Hutter AdamW(분리된 가중치 감쇠) arXiv 공개	loshchilov2017	loshchilov2017 v1 2017-11-14 via arXiv API
2017	12	NIPS 2017 학회(롱비치, 12월 4~9일)에서 'Attention Is All You Need' 발표	vaswani2017	https://neurips.cc/Conferences/2017 (Mon Dec 4th through Sat the 9th) + https://papers.nips.cc/paper_files/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html
2018	05	Milakov·Gimelshein 온라인 소프트맥스 정규화 arXiv 공개	milakov2018	milakov2018 v1 2018-05-08 via arXiv API
2018	05	Fan 외 top-k 샘플링 이야기 생성 arXiv 공개	fan2018	fan2018 v1 2018-05-13 via arXiv API
2018	06	Radford 외 GPT-1 보고서 'Improving Language Understanding by Generative Pre-Training' 공개	radford2018	https://en.wikipedia.org/wiki/GPT-1 (각주: Radford et al., 11 June 2018, OpenAI PDF) + PDF 메타데이터 CreationDate 2018-06-08
2018	08	Kudo·Richardson SentencePiece arXiv 공개	kudo2018	kudo2018 v1 2018-08-19 via arXiv API
2018	10	Devlin 외 BERT arXiv 공개	devlin2018	devlin2018 v1 2018-10-11 via arXiv API
2019	02	Radford 외 GPT-2 보고서 'Language Models are Unsupervised Multitask Learners' 공개	radford2019	https://github.com/openai/gpt-2/blob/master/model_card.md (Model date: February 2019) + PDF 메타데이터 CreationDate 2019-02-14
2019	04	Holtzman 외 nucleus(top-p) 샘플링 arXiv 공개	holtzman2019	holtzman2019 v1 2019-04-22 via arXiv API
2019	10	Zhang·Sennrich RMSNorm arXiv 공개	zhang2019	zhang2019 v1 2019-10-16 via arXiv API
2019	10	Raffel 외 T5 arXiv 공개	raffel2019	raffel2019 v1 2019-10-23 via arXiv API
2019	11	Shazeer 멀티쿼리 어텐션(MQA) arXiv 공개	shazeer2019	shazeer2019 v1 2019-11-06 via arXiv API
2020	01	Kaplan 외 신경망 언어 모델 규모 법칙 arXiv 공개	kaplan2020	kaplan2020 v1 2020-01-23 via arXiv API
2020	02	Xiong 외 Pre-LN 트랜스포머 분석 arXiv 공개	xiong2020	xiong2020 v1 2020-02-12 via arXiv API
2020	02	Shazeer 'GLU Variants Improve Transformer'(SwiGLU) arXiv 공개	shazeer2020	shazeer2020 v1 2020-02-12 via arXiv API
2020	05	Brown 외 GPT-3 'Language Models are Few-Shot Learners' arXiv 공개	brown2020	brown2020 v1 2020-05-28 via arXiv API
2021	04	Su 외 RoFormer(RoPE) arXiv 공개	su2021	su2021 v1 2021-04-20 via arXiv API
2021	06	Hu 외 LoRA arXiv 공개	hu2021	hu2021 v1 2021-06-17 via arXiv API
2021	12	Rae 외 Gopher 280B 보고서 arXiv 공개	rae2021	rae2021 v1 2021-12-08 via arXiv API
2021	12	Rabe·Staats O(n²) 메모리 없는 셀프 어텐션 arXiv 공개	rabe2021	rabe2021 v1 2021-12-10 via arXiv API
2022	03	Ouyang 외 InstructGPT(사람 피드백 강화학습) arXiv 공개	ouyang2022	ouyang2022 v1 2022-03-04 via arXiv API
2022	03	Hoffmann 외 Chinchilla 계산 최적 학습 arXiv 공개	hoffmann2022	hoffmann2022 v1 2022-03-29 via arXiv API
2022	05	Dao 외 FlashAttention arXiv 공개	dao2022	dao2022 v1 2022-05-27 via arXiv API
2022	11	Pope 외 트랜스포머 추론 효율 확장 arXiv 공개	pope2022	pope2022 v1 2022-11-09 via arXiv API
2022	11	OpenAI ChatGPT 연구 미리보기 공개(11월 30일)	-	https://www.history.com/this-day-in-history/november-30/chatgpt-released-openai (WebSearch 2026-09-16, openai.com/index/chatgpt/ 는 403)
2023	02	Touvron 외 LLaMA arXiv 공개	touvron2023	touvron2023 v1 2023-02-27 via arXiv API
2023	03	OpenAI GPT-4 기술 보고서 arXiv 공개	openai2023	openai2023 v1 2023-03-15 via arXiv API
2023	05	Ainslie 외 그룹쿼리 어텐션(GQA) arXiv 공개	ainslie2023	ainslie2023 v1 2023-05-22 via arXiv API
2023	07	Touvron 외 Llama 2 arXiv 공개	touvron2023b	touvron2023b v1 2023-07-18 via arXiv API
2024	04	Meta Llama 3(8B·70B) 공개(4월 18일) (2026-09 기준)	-	https://ai.meta.com/blog/meta-llama-3/ (WebFetch 2026-09-16: April 18, 2024)
2024	05	OpenAI GPT-4o 발표(5월 13일) (2026-09 기준)	-	https://techcrunch.com/2024/05/13/openais-newest-model-is-gpt-4o/ (WebSearch 2026-09-16)
2024	07	Llama 3 기술 보고서 'The Llama 3 Herd of Models' arXiv 공개 (2026-09 기준)	grattafiori2024	grattafiori2024 v1 2024-07-31 via arXiv API
2024	12	DeepSeek-V3 기술 보고서 arXiv 공개 (2026-09 기준)	deepseekai2024	deepseekai2024 v1 2024-12-27 via arXiv API
2025	01	DeepSeek-R1 논문 arXiv 공개 (2026-09 기준)	deepseekai2025	deepseekai2025 v1 2025-01-22 via arXiv API
2025	04	Meta Llama 4 Scout·Maverick 공개(4월 5일) (2026-09 기준)	-	https://ai.meta.com/blog/llama-4-multimodal-intelligence/ (WebFetch 2026-09-16: April 5, 2025)
2025	08	OpenAI gpt-oss-120b·gpt-oss-20b 모델 카드 arXiv 공개 (2026-09 기준)	openai2025	openai2025 v1 2025-08-08 via arXiv API
2025	08	OpenAI GPT-5 공개(8월 7일) (2026-09 기준)	-	https://techcrunch.com/2025/08/07/openais-gpt-5-is-here/ (WebSearch 2026-09-16)
2026	02	OpenAI GPT-5.3-Codex 공개(2월 5일) (2026-09 기준)	-	https://en.wikipedia.org/wiki/GPT-5.3-Codex (각주: https://arstechnica.com/ai/2026/02/with-gpt-5-3-codex-openai-pitches-codex-for-more-than-just-writing-code/, WebFetch 2026-09-16)
