# 용어집 — 한 줄에 하나: 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
# 세 번째 칸의 id 가 실재하지 않으면 덱이 만들어지지 않는다(gen_glossary.py).
# 세 번째 칸은 본문(0·2~16·19부)에서 그 낱말이 처음 설명되는 장이다.
주석 태그 | 태그 객체를 가리키는 태그 — 만든 이·메시지·서명이 있다 | p4-packed-read
HEAD | 지금 있는 자리. 보통 브랜치를 가리키는 기호 참조 | p0-notation-1
기호 참조(symbolic ref) | 다른 참조의 이름을 담은 참조. "ref: refs/heads/main" | p17-c-symbolic-ref
분리 HEAD(detached HEAD) | HEAD 가 브랜치가 아니라 커밋을 바로 가리키는 상태 | p4-intro
원격 추적 브랜치 | refs/remotes/origin/* — 원격의 브랜치를 마지막 fetch 때 본 자리 | p4-file
상류(upstream) | 브랜치가 따라가는 원격 브랜치. @{u} 로 가리킨다 | p4-remote-refs
packed-refs | 참조 여럿을 한 파일에 모은 것 | p4-intro
reftable | 참조를 파일 하나씩이 아니라 표 형식으로 담는 백엔드. 2.45 부터 | p4-intro
reflog | 참조가 있던 자리의 기록. 되살리기의 첫 도구 | p2-imm-old
ORIG_HEAD | merge·rebase·reset 이 움직이기 전의 HEAD 를 적어 두는 참조 | p4-resolve-rules
FETCH_HEAD | 마지막 fetch 가 받은 것을 적는 파일 | p4-resolve-rules
MERGE_HEAD | 끝나지 않은 머지의 상대 커밋 | p4-resolve-rules
리비전(revision) | 커밋을 가리키는 표기 — 이름, HEAD~2, main^2, @{1}, :/글 따위 | p15-log-msg
~ 와 ^ | ~n 은 첫째 부모를 n 번, ^n 은 n 번째 부모 | p4-anc-table
@{n} | 참조의 reflog 에서 n 번 앞의 자리 | p2-imm-old
범위(A..B) | B 에서 닿지만 A 에서는 닿지 않는 커밋들 | p0-notation-1
대칭 차(A...B) | 둘 중 한쪽에서만 닿는 커밋들 | p0-notation-1
닿는(reachable) | 어떤 참조에서 부모를 따라가 도착할 수 있는 | p2-imm-old
매달린(dangling) 객체 | 무엇도 가리키지 않는 객체 — 지운 브랜치의 끝 등 | p3-fsck-what
stat 정보 | 인덱스가 파일마다 기억하는 시각·크기·inode — 해시 없이 변화를 가려내는 데 쓴다 | p5-intro
racy git | 파일이 인덱스를 쓴 같은 초에 바뀌어 stat 만으로는 변화를 못 믿는 문제 | p5-intro
단계(stage) | 인덱스 항목의 번호 0~3. 충돌 중에는 1 기준·2 우리·3 그들 | p5-intro
DIRC | 인덱스 파일의 첫 4바이트 | p5-ch1
assume-unchanged | "이 파일은 안 바뀐 것으로 믿어라" 는 인덱스 표시 — 성능용 | p5-intro
skip-worktree | "이 파일은 작업 트리에 없어도 된다" 는 인덱스 표시 — sparse checkout 이 쓴다 | p5-intro
split index | 인덱스를 공유 부분과 작은 변경 부분으로 나눈 형식 | p5-ext-link
cache-tree(TREE 확장) | 인덱스에 붙은 디렉터리별 트리 이름 캐시 | p5-intro
untracked | 인덱스에 없는 작업 트리 파일 | p2-areas-untracked
porcelain | 사람이 쓰는 명령(add·commit·switch). 또는 스크립트용으로 고정된 출력 꼴(--porcelain) | p0-notation-2
plumbing | 스크립트가 쓰는 저수준 명령(hash-object·cat-file·update-ref) | p0-notation-2
add | 파일 내용을 blob 으로 쓰고 인덱스에 올린다 | p2-areas-add
commit(명령) | 인덱스로 트리를 쓰고 커밋을 만들고 브랜치를 옮긴다 | p2-imm-setup
amend | 마지막 커밋을 같은 부모의 새 커밋으로 바꿔치기 | p2-imm-setup
reset | 브랜치(와 선택에 따라 인덱스·작업 트리)를 다른 커밋으로 옮긴다 | p4-special
--soft·--mixed·--hard | reset 이 되돌리는 범위: 브랜치만·인덱스까지·작업 트리까지 | p6-intro
restore | 작업 트리나 인덱스의 파일을 다른 판에서 되돌린다(2.23 부터) | p0-prereq
switch | 브랜치를 바꾼다(2.23 부터) | p0-prereq
checkout | 브랜치 바꾸기와 파일 되돌리기를 함께 하던 옛 명령 | p4-prev
stash | 작업 트리·인덱스의 변경을 커밋으로 치워 두는 명령. 목록은 refs/stash 의 reflog | p6-intro
rm | 파일을 인덱스(와 작업 트리)에서 지운다. --cached 면 인덱스만 | p6-rm
mv | 파일 이름을 바꾼다 — 지우기와 더하기의 합 | p2-snap-rename
status | 세 자리(HEAD·인덱스·작업 트리)를 둘씩 견준 결과 | p2-areas-why
log | 역사를 보여 준다. 기본은 커미터 날짜 순 | p3-commit-time
show | 객체 하나를 사람이 읽는 꼴로 | p17-c-show
cat-file | 객체의 형식·크기·내용을 꺼내는 배관 명령 | p0-promise
hash-object | 파일의 객체 이름을 계산하고(-w 면) 저장한다 | p2-layers
ls-files | 인덱스의 내용을 보인다 | p13-eol-table
ls-tree | 트리 객체의 내용을 보인다 | p17-c-ls-tree
write-tree | 인덱스로 트리 객체를 만든다 | p2-layers
commit-tree | 트리와 부모로 커밋 객체를 만든다 | p2-layers
update-ref | 참조를 안전하게 바꾼다 | p2-layers
rev-parse | 리비전 표기를 객체 이름으로 푼다 | p3-loose-tool
rev-list | 조건에 맞는 커밋 목록을 낸다 | p15-logrepo
for-each-ref | 참조마다 정보를 찍는다 | p4-ch9
fsck | 객체의 연결성과 유효성을 검사한다 | p0-oracle
gc | 치우고 묶는다 — 팩으로 모으고, reflog 를 줄이고, 닿지 않는 객체를 지운다 | p2-imm-old
prune | 닿지 않는 느슨한 객체를 지운다 | p2-imm-old
maintenance | gc·커밋 그래프·팩 정리 같은 작업을 예약해 돌리는 명령 | p10-maintenance
merge | 두 역사를 합친다 — fast-forward 또는 3-way | p2-layers
fast-forward | 한쪽이 다른 쪽의 조상이라 이름표만 앞으로 옮기는 머지 | p7-intro
3-way 머지 | 기준·우리·그들 세 판을 견주어 합치는 방식 | p7-intro
merge-base | 두 커밋의 가장 좋은 공통 조상 | p4-range-three
공통 조상 | 두 커밋 모두에서 닿는 커밋 | p2-snap-benefit
교차 머지(criss-cross) | 두 브랜치가 서로를 머지해 공통 조상이 둘 이상이 된 모양 | p7-base-crisscross
충돌(conflict) | 같은 자리를 양쪽이 다르게 고쳐 git 이 고르지 못한 곳 | p0-capture-exit
충돌 표지 | <<<<<<< ======= >>>>>>> 로 양쪽을 나란히 적은 줄들 | p7-markers
diff3·zdiff3 | 충돌 표지에 기준 판의 내용까지 보이는 꼴 | p7-style-diff3
ort | 2.34 부터 git 의 기본 머지 전략 | p7-intro
recursive | 옛 기본 머지 전략. 2.50 부터 ort 의 별칭 | p7-ort-history
전략 옵션(-X) | ours·theirs 처럼 충돌 조각에서 한쪽을 고르게 하는 머지 옵션 | p7-intro
ours 전략(-s ours) | 상대 쪽 내용을 통째로 버리고 우리 트리를 그대로 두는 머지 | p7-intro
rerere | 한 번 푼 충돌의 해결을 기억해 다시 쓴다 | p7-intro
rebase | 커밋들을 다른 기준 위에 새로 만들어 다시 쌓는다 | p2-imm-rule
대화형 rebase(-i) | 할 일 목록을 편집해 커밋을 고르고·합치고·고치고·순서를 바꾼다 | p8-quiz-2
pick·squash·fixup·reword·edit·drop | 대화형 rebase 의 할 일 명령 | p7-intro
autosquash | fixup!·amend! 커밋을 대상 바로 밑으로 옮겨 합치는 rebase 기능 | p8-i-fixup
fixup! 커밋 | 합칠 대상을 제목으로 가리키는 커밋 — commit --fixup 이 만든다 | p8-i-fixup
--onto | rebase 의 새 기준을 따로 정한다 | p8-intro
cherry-pick | 커밋 하나가 들여온 변경을 지금 자리에 새 커밋으로 적용한다 | p8-intro
revert | 커밋의 반대 변경을 새 커밋으로 쌓는다 | p8-intro
patch-id | 줄 번호와 공백을 뺀 변경 내용의 해시 — 같은 패치를 알아본다 | p8-applied
range-diff | 한 브랜치의 두 판을 커밋끼리 짝지어 비교한다 | p8-range-diff
filter-branch | 역사 전체를 다시 쓰는 옛 도구. 설명서가 다른 도구를 권한다 | p8-intro
diff | 두 판의 줄 단위 차이 | p0-howto
덩어리(hunk) | diff 에서 바뀐 곳과 앞뒤 문맥을 묶은 단위. @@ 머리로 시작 | p7-intro
문맥 줄 | 덩어리 안의 바뀌지 않은 줄. 기본 3줄 | p9-hunk
편집 스크립트 | 한 판을 다른 판으로 바꾸는 지우기·끼우기의 목록 | p9-intro
Myers 알고리즘 | 가장 짧은 편집 스크립트를 찾는 O(ND) 알고리즘. git diff 의 기본 | p9-myers
patience·histogram | 드물게 나오는 줄을 닻으로 삼는 diff 알고리즘들 | p9-intro
들여쓰기 휴리스틱 | 같은 길이의 후보 가운데 사람이 읽기 좋은 자리를 고르는 규칙. 2.14 부터 기본 | p9-indent
이름 변경 감지 | 지운 파일과 더한 파일의 비슷함을 보고 "바꿈" 으로 추측하는 것 | p19-scope
blame | 줄마다 마지막으로 고친 커밋과 작성자 | p9-intro
bisect | 이분 탐색으로 버그를 들여온 커밋을 찾는다 | p8-i-exec
pickaxe(-S·-G) | 내용 속 문자열의 개수(-S)나 줄(-G)이 바뀐 커밋을 찾는 log 선택지 | p15-pickaxe
word diff | 줄이 아니라 낱말 단위로 차이를 보이는 꼴 | p0-howto
팩(packfile) | 객체 여럿을 한 파일에, 비슷한 것은 델타로 담은 것 | p0-oracle
.idx | 팩 안 객체의 이름 → 자리 색인 | p10-intro
델타(delta) | 바탕 객체에서 복사할 곳과 끼울 바이트의 목록 | p2-two-ways
OFS_DELTA | 같은 팩 안 앞쪽 바탕을 거리로 가리키는 델타 | p10-types
REF_DELTA | 바탕을 객체 이름으로 가리키는 델타 | p10-types
델타 사슬 | 델타의 바탕이 또 델타인 이어짐 | p10-intro
가변 길이 수(varint) | 바이트마다 7비트씩, 높은 비트로 "더 있다" 를 표시하는 수 | p10-types
팬아웃 표 | .idx 앞의 256칸 — 첫 바이트가 k 이하인 이름의 수 | p10-idx
verify-pack | 팩을 검증하고 항목마다 크기·델타 깊이를 보인다 | p19-scope
index-pack | 받은 팩으로 색인을 만들고 검증한다 | p0-oracle
repack | 느슨한 객체와 팩들을 다시 묶는다 | p10-keep
window·depth | repack 이 델타 바탕을 고를 때 둘러보는 폭과 사슬의 최대 길이 | p10-window
크러프트 팩(cruft pack) | 닿지 않는 객체를 따로 모은 팩. 2.41 부터 gc 의 기본 | p10-intro
다중 팩 색인(MIDX) | 여러 팩을 한 색인으로 찾게 하는 파일 | p10-intro
비트맵 색인 | 커밋마다 닿는 객체를 비트열로 기억해 전송을 빠르게 하는 색인 | p10-intro
커밋 그래프(commit-graph) | 커밋의 부모·세대 번호를 모은 파일 — 역사 걷기를 빠르게 | p10-intro
세대 번호 | 커밋의 뿌리에서의 깊이 — 커밋 그래프가 기억해 걷기를 줄인다 | p10-commit-graph
pkt-line | 길이 네 자리 16진(자기 4바이트 포함) + 데이터로 된 전송 단위 | p11-intro
flush-pkt(0000) | 패킷 묶음의 끝 표지 | p2-graph-tree
delim-pkt(0001) | 프로토콜 v2 에서 절을 가르는 표지 | p11-pktline
프로토콜 v0·v1 | 서버가 참조를 먼저 다 알리고 시작하는 옛 대화 방식 | p11-intro
프로토콜 v2 | 클라이언트가 필요한 명령(ls-refs·fetch)을 골라 묻는 대화 방식. 2.29 부터 다시 기본 | p11-v0-v2-fig
capability | 대화 첫머리에 서로 알리는 기능 목록 | p11-v0-raw
ls-refs | 프로토콜 v2 에서 참조 목록을 묻는 명령 | p11-v2-ls
want·have | fetch 에서 받고 싶은 커밋과 이미 가진 커밋 | p11-intro
협상(negotiation) | have 를 주고받아 보낼 객체를 줄이는 과정 | p11-intro
사이드밴드 | 팩·진행·오류를 한 흐름에 채널 번호로 섞어 보내는 방식 | p19-s12-read
upload-pack | fetch 에 응답해 팩을 보내는 서버 쪽 프로그램 | p11-transports
receive-pack | push 를 받는 서버 쪽 프로그램 | p11-push-trace
report-status | push 뒤 서버가 참조마다 결과를 알리는 형식 | p11-summary
atomic push | 여러 참조를 모두 바꾸거나 하나도 안 바꾸는 push | p11-atomic
스마트 HTTP | HTTP 위에서 pkt-line 대화를 하는 전송 | p11-intro
bundle | 객체와 참조를 파일 하나에 담아 옮기는 형식 | p11-intro
얕은 clone(--depth) | 최근 역사만 받는 clone. .git/shallow 에 경계를 적는다 | p11-intro
부분 clone(--filter) | 일부 객체(예: blob)를 나중에 받는 clone | p0-machine
promisor | 부분 clone 에서 빠진 객체를 나중에 줄 원격 | p11-summary
원격(remote) | 이름 붙인 다른 저장소의 주소와 refspec | p0-notation-2
origin | clone 한 원격의 기본 이름 | p2-dist-remote
refspec | 어느 원격 참조를 어느 로컬 참조로 옮길지의 규칙 "+src:dst" | p12-intro
fetch | 원격의 객체와 참조를 받아 원격 추적 브랜치에 적는다 | p10-bitmap
pull | fetch 에 이어 합치기(머지·rebase·되감기)까지 | p4-upstream
push | 내 객체를 보내고 원격 참조를 옮겨 달라고 청한다 | p0-capture-exit
non-fast-forward 거절 | 되감기가 아닌 push 를 원격이 받지 않는 것 | p7-ff-fig
force push | 되감기가 아니어도 원격 참조를 덮어쓰는 push | p4-cas
--force-with-lease | 마지막으로 본 원격 상태와 같을 때만 덮어쓰는 안전한 강제 push | p4-cas
포크 | 다른 사람의 저장소를 복제해 두고 거기서 일하는 방식 | p8-quiz-3
format-patch | 커밋을 메일 꼴 패치 파일로 만든다 | p12-patch-mail
am | 메일 꼴 패치를 커밋으로 적용한다 | p17-c-am
request-pull | 가져가 달라는 요약 글을 만든다 | p12-request-pull
설정(config) | 시스템·전역·저장소·worktree 층으로 겹치는 key=value | p0-map
core.autocrlf | 줄 끝 CRLF↔LF 변환을 켜는 옛 설정 | p3-blob-raw
.gitattributes | 경로마다 속성(줄 끝·diff 드라이버·필터·merge)을 정하는 파일 | p3-blob-raw
.gitignore | 추적하지 않을 파일의 규칙. 이미 추적 중인 파일에는 듣지 않는다 | p5-quiz-2
exclude | .git/info/exclude — 공유하지 않는 개인 무시 규칙 | p17-c-check-ignore
훅(hook) | 사건마다 git 이 부르는 스크립트 | p0-map
pre-commit | 커밋 직전의 훅. 실패하면 커밋이 멈춘다 | p13-summary
pre-receive | push 를 받는 서버에서 참조를 바꾸기 전의 훅 | p11-hook
필터(clean·smudge) | 저장할 때와 꺼낼 때 파일 내용을 바꾸는 속성 — LFS 의 원리 | p13-filter-rot
LFS | 큰 파일을 저장소 밖에 두고 포인터만 커밋하는 방식 | p0-scope
worktree | 한 저장소에 작업 트리를 여럿 두는 기능 | p5-intro
서브모듈 | 저장소 안에 다른 저장소의 커밋을 가리키는 항목 | p3-tree-p
sparse-checkout | 작업 트리를 추적 파일의 일부로 줄이는 기능 | p5-intro
credential helper | 비밀번호를 기억하거나 물어 오는 도우미 프로그램 | p13-intro
safe.directory | 남이 소유한 저장소를 믿을지 정하는 설정 | p14-safe-directory
alias | 명령을 짧게 부르는 설정 alias.<이름> | p7-ort-history
core.fileMode | 실행 비트 변화를 볼지 정하는 설정 | p3-blob-mode
core.ignoreCase | 대소문자를 가리지 않는 파일 시스템을 위한 설정 | p0-scope
유니코드 정규화(NFC·NFD) | 같은 글자를 바이트 둘 이상으로 적는 방식들 — 파일 이름이 갈린다 | p14-intro
CVE | 공개된 보안 결함의 번호 | p13-submodule-clone
mailmap | 작성자 이름·메일을 하나로 모으는 대응표 | p17-c-check-mailmap
shortlog | 작성자별로 커밋을 묶어 세는 명령 | p15-msg
grep | 작업 트리나 커밋의 트리에서 줄을 찾는다 | p15-grep
add -p | 덩어리마다 물어 일부만 인덱스에 올린다 | p2-areas-why
git-prompt.sh | 셸 프롬프트에 브랜치와 상태를 보이게 하는 스크립트 | p15-ps1-files
lost-found | fsck --lost-found 가 매달린 객체를 적어 두는 자리 | p16-end
mygit | 이 덱이 다섯 언어로 만든 git 의 부분집합 | p0-oracle
golden | 진짜 git 이 만든 기대 출력 모음 — mygit 시험의 채점 기준 | p0-oracle
장면 파일(.scn) | 명령과 기대 출력을 차례로 적은 시험 파일 — 다섯 언어가 같이 읽는다 | p19-s5-subject
오라클 | 정답을 판정해 주는 기준 — 이 덱에서는 진짜 git 2.55.0 | p19-s5-subject
RED·GREEN | 시험을 먼저 실패시키고(빨강), 통과할 만큼 구현하는(초록) 순서 | p19-howto
객체 데이터베이스 | .git/objects — 느슨한 객체와 팩이 사는 곳 | p0-notation-2
.git/objects/pack | 팩 파일과 색인이 사는 디렉터리 | p10-idx
tree 정렬 규칙 | 하위 트리는 이름 뒤에 '/' 가 붙은 것처럼 바이트로 비교한다 | p3-intro
빈 트리 | 항목이 없는 트리. 이름 4b825dc… | p3-empty
짧은 이름 | 객체 이름의 앞부분. 모호하지 않으면 그것으로 가리킨다 | p2-areas-modified
disambiguate | 짧은 이름이 여럿에 맞을 때 git 이 후보를 보여 주는 것 | p3-quiz-4
peel(^{}) | 태그를 벗겨 가리키는 객체로 가기 | p3-loose-four
:/글 | 메시지가 그 글(정규식)에 맞는 가장 최근 커밋 | p11-transports
<rev>:<경로> | 커밋 안의 경로가 가리키는 blob 이나 tree | p3-loose-four
reflog 만료 | gc 가 오래된 reflog 줄을 지우는 기한 — 닿는 것 90일, 닿지 않는 것 30일 | p4-reflog-expire
gc.auto | 느슨한 객체가 이만큼 쌓이면 gc --auto 가 돈다 | p10-auto-doc
index.lock | 인덱스를 쓰는 동안 잡는 잠금 파일 | p5-lock
원자적 쓰기 | 임시 파일에 다 쓰고 이름을 바꿔 넣는 쓰기 — 반쯤 쓴 파일이 남지 않는다 | p11-intro
작업 트리 청소(clean) | 추적하지 않는 파일을 지우는 명령 | p6-clean-f
describe | 가까운 태그에서 몇 커밋 떨어졌는지로 이름을 붙인다 | p12-ch4
notes | 커밋을 바꾸지 않고 덧붙이는 메모 | p2-quiz-3
replace | 객체를 다른 객체로 바꿔치는 참조 | p17-c-replace
worktree 잠금 | 같은 브랜치를 두 작업 트리에서 꺼내지 못하게 하는 것 | p0-howto
trailer | 메시지 끝의 "Signed-off-by: …" 같은 key: value 줄 | p17-c-interpret-trailers
서명(gpgsig) | 커밋·태그 머리에 붙는 암호 서명 | p3-commit-fields
ssh 서명 | GnuPG 대신 ssh 키로 하는 서명. 2.34 부터 | p11-transports
safe.directory 경고 | 남이 소유한 저장소에서 git 이 멈추며 내는 경고 | p14-safe-directory
push.default | 브랜치를 적지 않은 push 가 무엇을 보낼지. 2.0 부터 simple | p12-remote-show
pull.rebase | pull 이 머지 대신 rebase 하게 하는 설정 | p12-pull-choice
merge.conflictStyle | 충돌 표지의 꼴(merge·diff3·zdiff3) | p7-style-diff3
init.defaultBranch | 새 저장소의 첫 브랜치 이름 설정 | p1-main
core.precomposeUnicode | macOS 에서 파일 이름을 NFC 로 모아 주는 설정 | p14-nfd
GIT_AUTHOR_DATE | 작성 시각을 정하는 환경 변수 — 이 덱의 결정론의 열쇠 | p19-s5-idea
GIT_SEQUENCE_EDITOR | 대화형 rebase 의 할 일 목록을 여는 편집기 | p8-i-reword
추적 파일(tracked) | 인덱스에 항목이 있는 파일 | p0-notation-2
제목(subject) | 커밋 메시지의 첫 문단 — log --oneline 이 보이는 줄 | p0-why
--first-parent | 머지에서 첫째 부모만 따라가는 log 선택지 | p3-commit-merge
--no-ff | 되감기가 가능해도 머지 커밋을 만드는 선택지 | p7-noff
squash 머지 | 상대 브랜치의 변경을 합쳐 한 커밋으로 만드는 머지(부모는 하나) | p7-squash
문어 머지(octopus) | 부모가 셋 이상인 머지 | p7-intro
줄 끝(CRLF·LF) | 윈도의 CR LF 와 유닉스의 LF — 속성·설정으로 변환한다 | p13-eol
eol 속성 | .gitattributes 에서 경로의 줄 끝을 정하는 속성 | p14-crlf
renormalize | 이미 커밋된 파일을 지금의 속성 규칙대로 다시 올리기 | p16-s33
호스팅 서비스 | GitHub·GitLab 처럼 저장소를 맡아 주는 서비스 — 풀 리퀘스트는 그쪽 기능 | p0-scope
풀 리퀘스트 | 호스팅 서비스의 기여 흐름. git 에는 request-pull 글과 메일 패치가 있다 | p0-scope
fsmonitor | 파일 시스템 감시로 status 의 훑기를 줄이는 기능 | p14-scale-tools
untracked cache | 추적 안 하는 파일 훑기를 기억해 두는 인덱스 확장 | p5-ext-untr
세 자리 | 작업 트리·인덱스·저장소 — 명령은 이 셋 사이로 내용을 옮긴다 | p19-s6-status
되살리기(recovery) | reflog·ORIG_HEAD·fsck 로 잃은 커밋을 다시 이름 붙이기 | p2-quiz-4
