# 용어집 — 한 줄에 하나: 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
# 세 번째 칸의 id 가 실재하지 않으면 덱이 만들어지지 않는다(gen_glossary.py).
# PLAN.md §5 11단계에서 180개 이상으로 채운다.
레이어놈 역전파 | d − mean d − x̂·mean(d⊙x̂) 을 σ 로 나눈 식 | p4-ln-back-thm
로그소프트맥스 | 로그 확률을 곧장 계산하는 함수 | p4-log-softmax
루프 차례 | 같은 곱셈을 어떤 차례로 메모리를 읽으며 하느냐 | p4-loop-order
마름모 | 갈라졌다 다시 만나는 계산 그래프 모양 | p3-diamond
말뭉치 | 학습에 쓰는 글 모음 | p5-corpus-size
멀티헤드 | 폭을 나눠 여러 어텐션을 동시에 하는 것 | p6-mh-why
명시적 스택 | 재귀 대신 쓰는 스택. 깊은 그래프에서 재귀 한도를 피한다 | p3-recursion
모양 | 텐서의 축마다 크기 | p2-notation-shapes
묶인 임베딩 | 입력 임베딩 표를 출력 사영에도 쓰는 것 | p7-tied
바이트 BPE | 바이트 256 개를 기본 토큰으로 두는 BPE | p5-why
반올림 오차 | 부동소수의 유한한 자릿수에서 생기는 오차 | p3-roundoff
배치 | 한 스텝에 함께 계산하는 줄들의 묶음 | p9-train-step
벡터-야코비안 곱 | 윗기울기 벡터에 야코비안을 곱하는 역전파의 기본 연산 | p2-vjp
보폭 | 한 축을 따라 한 칸 움직일 때 건너뛰는 칸 수 | p3-row-major
볼록 결합 | 합이 1 인 음이 아닌 가중치의 가중합 | p6-rows-sum
분산 | 평균에서 떨어진 정도의 제곱 평균 | p2-variance
브로드캐스팅 | 모양이 다른 텐서를 퍼뜨려 맞추는 규칙 | p3-broadcast-rule
사인 인코딩 | 사인·코사인 표를 더하는 위치 방식 | p7-sin-formula
사전 토크나이저 | BPE 전에 글을 조각으로 자르는 단계 | p5-pretok-why
상대 오차 | 차이를 크기로 나눈 오차 | p3-rel-error
색인표 | 출력 칸마다 읽을 입력 칸 번호의 표 | p3-index-map
서브워드 | 낱말보다 작고 글자보다 큰 토큰 | p5-why
선형 이동 성질 | PE(p+k) 가 PE(p) 의 p 무관 회전이라는 성질 | p7-sin-shift
선형층 | Y = XW + b | p2-matmul-def
소프트맥스 야코비안 | diag(p) − ppᵀ | p2-softmax-jacobian
손실 고원 | 손실이 한동안 내려가지 않고 머무는 구간 | p7-decoder-only
손실 스케일링 | float16 에서 작은 기울기가 0 이 되지 않게 손실을 키우는 요령 | p11-mp-scaling
순위 | BPE 병합을 배운 차례 | p5-encode-rule
순환 신경망 | 앞 시점의 상태를 다음 시점에 넣는 신경망 | p1-rnn
스케일링 법칙 | 손실이 규모를 따라 거듭제곱으로 준다는 경험 법칙 | p1-kaplan
스레드 정적 분할 | 경계를 n 과 스레드 수로만 정해 칸마다 한 스레드가 계산하는 것 | p9-static-partition
시험 먼저 | 구현보다 시험을 먼저 쓰고 실패를 확인하는 방식 | p13-map-evidence
씨앗 | 난수 생성기의 시작값 | p0-two-impl
야코비안 | 벡터 함수의 편미분을 모은 행렬 | p2-jacobian
어텐션 | 질의와 닮은 키의 값을 더 많이 섞는 가중합 | p6-dict
어텐션 가중치 | 소프트맥스를 지난 점수 행렬 | p6-formula
어휘 | 토큰 종류의 목록 | p5-vocab-tradeoff
역전파 | 연쇄법칙으로 출력에서 입력 쪽으로 기울기를 흘리는 알고리즘 | p1-backprop
연쇄법칙 | 합성함수의 미분은 미분들의 곱 | p2-chain-scalar
열지도 | 행렬의 크기를 색 진하기로 그린 그림 | p7-sin-heatmap
온도 0 | 온도를 0 으로 두면 argmax 와 같다 | p10-temp-zero-test
옵티마이저 | 기울기로 파라미터를 갱신하는 규칙 | p9-adamw
원-핫 | 한 칸만 1 인 벡터 | p2-ce-grad-proof
위상정렬 | 간선이 늘 앞에서 뒤로 가게 노드를 늘어놓는 것 | p3-topo-def
위치 인코딩 | 벡터에 위치 정보를 넣는 방법 | p7-pos-why
음의 로그 가능도 | 정답에 준 확률의 −log | p2-nll
인과 마스크 | 질의 i 가 키 j > i 를 못 보게 가리는 것 | p6-mask-why
인코더 | 양방향으로 보는 블록 쌓기 | p7-encoder-only
인코드 | 글을 토큰 id 로 바꾸는 일 | p5-encode-rule
임베딩 조회 | 원-핫 행렬곱과 같은 표 읽기 | p4-emb-def
잔차 스트림 | 블록들이 결과를 더해 가는 폭 d 의 흐름 | p7-residual-idea
재계산 | 저장하지 않고 역전파 때 다시 계산해 메모리를 아끼는 것 | p6-cost-memory
전치 | 행과 열을 맞바꾸는 것 | p2-transpose
절단 오차 | 차분 근사에서 테일러 전개의 높은 차 항이 남기는 오차 | p3-difference-orders
점수 행렬 | QKᵀ/√d_k | p6-formula
정규화 | 합이나 분산을 정해진 값으로 맞추는 것 | p4-ln-def
주장 대장 | 사실 문장의 출처를 먼저 적는 deck/claims.md | p14-claims
중심 차분 | (f(x+h) − f(x−h))/2h. 오차 O(h²) | p3-difference-orders
증거 등급 | 실행 검증·논문 근거·역사 근거·설명용 배지 | p0-tier
증인 시험 | 식이 코드와 맞는지 닫힌 식이나 차분으로 확인하는 시험 | p3-op-witness
질의·키·값 | 무엇을 찾나 · 무엇으로 찾아지나 · 찾아지면 무엇을 건네나 | p6-where-qkv
체크포인트 | 설정과 파라미터를 담은 파일 | p9-ckpt-layout
초기화 | 학습 전 파라미터의 첫 값 | p7-init
출력 사영 | 마지막 벡터를 로짓으로 바꾸는 행렬곱 | p7-tied
캐시 | 가까운 빠른 메모리. 루프 차례가 적중률을 바꾼다 | p9-ikj
코사인 유사도 | 내적을 두 길이로 나눈 값 | p2-cosine
타일링 | 입력을 조각으로 나눠 계산하는 요령 | p11-os-flash
텐서 | 모양이 있는 수의 배열 | p3-why-tensor
토큰 | 모델이 받는 정수 단위 | p5-why
통계 시험 | 뽑은 빈도가 확률을 따르는지 몇 σ 안인지 보는 시험 | p10-draw
트랜스포머 | 순환 없이 어텐션과 FFN 블록을 쌓은 모델 | p1-aiayn
파라미터 수 | 학습하는 수의 개수 | p7-count-formula
퍼플렉시티 | exp(평균 음의 로그 가능도) | p2-perplexity
편향 | 선형층 출력에 더하는 벡터 | p2-bias
편향 보정 | Adam 의 이동평균을 1 − βᵗ 로 나눠 초기의 작은 치우침을 펴는 것 | p9-adamw
표준편차 | 분산의 제곱근 | p2-variance
풀러 | BERT 끝의 선형층 | p7-bert
플래그 | 체크포인트 머리말의 위치 방식 비트 | p9-ckpt-layout
학습률 일정 | 스텝에 따라 학습률을 바꾸는 규칙. 워밍업 뒤 코사인 | p9-clip-schedule
학습 위치 임베딩 | 위치마다 벡터를 배우는 방식 | p7-learned
한글 음절 | UTF-8 에서 3바이트인 가~힣 | p5-hangul-bytes
합성 과제 | 씨앗으로 만든 덧셈·정렬·뒤집기·홀짝 문제 | p7-decoder-only
핵 샘플링 | top-p 와 같은 말 | p10-topp
행렬곱 | 행과 열의 내적을 모은 표 | p2-matmul-def
행렬곱 역전파 | dA = dY Bᵀ, dB = Aᵀ dY | p3-matmul-proof
헤드 | 멀티헤드 어텐션의 한 조각 | p6-mh-split
혼합 정밀도 | float16 과 float32 를 섞어 학습하는 방법 | p11-mp-three
활성값 | 역전파가 다시 읽으려고 순전파가 남긴 값 | p9-acts
활성함수 | 선형층 사이에 끼우는 비선형 함수 | p4-gelu-def
SGD | 기울기에 학습률을 곱해 빼기만 하는 가장 단순한 옵티마이저 | p8-sgd
모멘텀 | 기울기의 이동평균으로 걸어 골짜기의 지그재그를 줄이는 방법 | p8-momentum
워밍업 | 학습 초반에 학습률을 0 근처에서 직선으로 올리는 구간 | p8-schedule
과적합 | 학습 자료는 외우지만 처음 보는 자료에서는 틀리는 상태 | p8-seen-unseen
줄 머리 맞춤 | 학습 창을 줄의 시작에서 자르는 것(aligned). 창 하나에 문제가 하나 든다 | p8-aligned
float16 | 2바이트 부동소수. 문서 안 덧셈 모델의 가중치를 이것으로 줄였다 | p10-demo-add
